application_id,customer_id,product_id,agent_id,application_date,requested_face_amount,payment_frequency_requested,underwriting_path,application_status,risk_class,decision_reason,days_to_decision,placement_flag,quoted_annual_premium,replacement_indicator
APP0000073,CUST0000131,PRD_IUL,AGT00963,2023-10-09,100000,Monthly,Full Underwriting,Declined,Decline,Prescription history,22,N,0.00,N
APP0000074,CUST0012428,PRD_TERM30,AGT01090,2025-08-25,1800000,Semiannual,Full Underwriting,Issued,Preferred Plus,Approved as applied,27,Y,1638.14,N
APP0000075,CUST0010929,PRD_TERM20,AGT01050,2025-10-25,1150000,Quarterly,Full Underwriting,Issued,Preferred,Approved as applied,12,Y,3120.45,N
APP0000076,CUST0002639,PRD_TERM10,AGT00564,2025-09-23,175000,Monthly,Full Underwriting,Issued,Preferred,Approved as applied,25,Y,295.35,N
APP0000077,CUST0011938,PRD_IUL,AGT01108,2024-03-25,275000,Monthly,Full Underwriting,Issued,Standard,Approved as applied,14,Y,4459.21,N
APP0000078,CUST0001469,PRD_TERM20,AGT00796,2023-11-25,1275000,Monthly,Full Underwriting,Issued,Preferred,Approved as applied,8,Y,2488.92,N
APP0000079,CUST0002118,PRD_IUL,AGT00722,2023-12-05,125000,Monthly,Full Underwriting,Issued,Standard,Approved as applied,18,Y,1264.21,N
APP0000080,CUST0000005,PRD_TERM20,AGT01080,2024-04-14,425000,Annual,Accelerated,Issued,Preferred,Approved as applied,1,Y,908.12,N
APP0000081,CUST0010707,PRD_TERM20,AGT01155,2024-04-08,125000,Annual,Full Underwriting,Issued,Preferred Plus,Approved as applied,8,Y,291.34,N
APP0000082,CUST0003543,PRD_UL,AGT01067,2023-12-22,425000,Quarterly,Simplified,Issued,Standard,Approved as applied,14,Y,2945.11,N
APP0000083,CUST0008602,PRD_TERM20,AGT00992,2024-03-07,650000,Monthly,Full Underwriting,Issued,Preferred Plus,Approved as applied,17,Y,715.99,N
APP0000084,CUST0001960,PRD_TERM30,AGT00330,2023-04-08,100000,Quarterly,Full Underwriting,Issued,Standard,Approved as applied,15,Y,234.12,N
APP0000085,CUST0005195,PRD_TERM30,AGT00527,2023-08-06,225000,Quarterly,Simplified,Issued,Preferred,Approved as applied,40,Y,408.14,N
APP0000086,CUST0001536,PRD_UL,AGT00092,2023-09-23,100000,Monthly,Simplified,Issued,Standard,Approved as applied,21,Y,1171.94,N
APP0000087,CUST0000334,PRD_TERM20,AGT00894,2025-03-09,275000,Monthly,Full Underwriting,Issued,Table 2,Approved with table rating,41,Y,706.43,N
APP0000088,CUST0003056,PRD_IUL,AGT00318,2025-04-30,150000,Annual,Full Underwriting,Issued,Preferred,Approved as applied,30,Y,2235.58,N
APP0000089,CUST0005058,PRD_WL100,AGT00880,2023-05-07,925000,Monthly,Full Underwriting,Issued,Standard,Approved as applied,27,Y,11393.40,N
APP0000090,CUST0011308,PRD_TERM20,AGT00295,2025-06-15,275000,Monthly,Full Underwriting,Incomplete,Standard,Missing requirements,13,N,856.19,N
APP0000091,CUST0011642,PRD_UL,AGT00510,2023-10-09,100000,Monthly,Simplified,Issued,Standard,Approved as applied,22,Y,875.98,N
APP0000092,CUST0012450,PRD_TERM20,AGT00041,2023-03-16,150000,Monthly,Full Underwriting,Issued,Preferred,Approved as applied,20,Y,460.06,N
APP0000093,CUST0000719,PRD_UL,AGT00410,2023-07-05,425000,Monthly,Accelerated,Postponed,Preferred Plus,Financial documentation,6,N,2879.38,N
APP0000094,CUST0008228,PRD_TERM20,AGT00873,2023-05-26,150000,Monthly,Full Underwriting,Issued,Preferred,Approved as applied,25,Y,368.91,N
APP0000095,CUST0006116,PRD_TERM20,AGT00215,2024-11-05,425000,Monthly,Full Underwriting,Issued,Standard,Approved as applied,42,Y,942.92,N
APP0000096,CUST0012636,PRD_TERM20,AGT00360,2023-09-04,850000,Monthly,Full Underwriting,Declined,Decline,Medical history,25,N,0.00,N
APP0000097,CUST0005767,PRD_UL,AGT01043,2025-05-07,400000,Annual,Full Underwriting,Withdrawn,Standard,Customer did not proceed,11,N,2421.11,N
APP0000098,CUST0002891,PRD_TERM30,AGT00245,2025-09-13,2175000,Monthly,Full Underwriting,Issued,Preferred,Approved as applied,40,Y,2835.63,N
APP0000099,CUST0002008,PRD_IUL,AGT00003,2023-04-29,125000,Monthly,Accelerated,Declined,Decline,Prescription history,6,N,0.00,N
APP0000100,CUST0006253,PRD_TERM30,AGT01083,2024-05-12,850000,Quarterly,Accelerated,Issued,Preferred,Approved as applied,5,Y,1700.54,N
APP0000101,CUST0003132,PRD_WL100,AGT01032,2023-07-24,275000,Quarterly,Simplified,Issued,Preferred Plus,Approved as applied,28,Y,1939.43,Y
APP0000102,CUST0006236,PRD_TERM20,AGT00367,2024-05-23,650000,Annual,Accelerated,Issued,Table 4,Approved with table rating,2,Y,3750.85,N
APP0000103,CUST0001694,PRD_TERM10,AGT00483,2025-05-04,575000,Annual,Full Underwriting,Issued,Preferred,Approved as applied,42,Y,883.59,N
APP0000104,CUST0001036,PRD_WL100,AGT00237,2023-11-07,200000,Monthly,Full Underwriting,Issued,Preferred,Approved as applied,23,Y,1477.93,N
APP0000105,CUST0006829,PRD_TERM20,AGT00272,2025-09-24,275000,Quarterly,Full Underwriting,Issued,Preferred,Approved as applied,12,Y,687.47,N
APP0000106,CUST0000522,PRD_TERM30,AGT00255,2024-06-02,125000,Monthly,Accelerated,Issued,Table 2,Approved with table rating,2,Y,427.58,N
APP0000107,CUST0010851,PRD_IUL,AGT00904,2024-01-11,150000,Monthly,Accelerated,Issued,Preferred,Approved as applied,7,Y,1025.45,N
APP0000108,CUST0009959,PRD_TERM10,AGT01050,2023-05-14,275000,Annual,Simplified,Issued,Standard,Approved as applied,17,Y,661.50,N
APP0000109,CUST0002730,PRD_IUL,AGT00283,2024-06-18,1850000,Annual,Full Underwriting,Withdrawn,Preferred,Customer did not proceed,4,N,14289.54,N
APP0000110,CUST0010649,PRD_WL100,AGT00905,2024-06-24,75000,Monthly,Simplified,Issued,Standard,Approved as applied,33,Y,2480.15,N
APP0000111,CUST0007377,PRD_IUL,AGT00723,2024-03-17,100000,Monthly,Accelerated,Issued,Preferred Plus,Approved as applied,1,Y,484.84,Y
APP0000112,CUST0007990,PRD_TERM30,AGT00186,2024-04-05,300000,Monthly,Full Underwriting,Issued,Table 2,Approved with table rating,36,Y,1651.06,N
APP0000113,CUST0006455,PRD_TERM30,AGT00868,2024-01-13,575000,Monthly,Simplified,Issued,Preferred Plus,Approved as applied,40,Y,958.31,N
APP0000114,CUST0008601,PRD_TERM20,AGT00109,2024-09-16,350000,Annual,Accelerated,Issued,Preferred Plus,Approved as applied,5,Y,312.97,N
APP0000115,CUST0011101,PRD_TERM30,AGT01056,2023-05-13,1450000,Monthly,Full Underwriting,Issued,Preferred Plus,Approved as applied,27,Y,3078.60,N
APP0000116,CUST0006537,PRD_IUL,AGT00840,2025-11-12,400000,Monthly,Full Underwriting,Postponed,Preferred,Lab follow-up,29,N,3893.71,N
APP0000117,CUST0005977,PRD_TERM20,AGT00768,2025-06-27,850000,Monthly,Simplified,Issued,Table 2,Approved with table rating,31,Y,2046.34,N
APP0000118,CUST0005438,PRD_TERM30,AGT00719,2024-05-25,1275000,Annual,Full Underwriting,Issued,Preferred Plus,Approved as applied,35,Y,2787.90,N
APP0000119,CUST0000481,PRD_TERM20,AGT00472,2024-12-07,575000,Quarterly,Full Underwriting,Issued,Preferred Plus,Approved as applied,40,Y,872.65,N
APP0000120,CUST0002109,PRD_TERM10,AGT00713,2024-11-27,175000,Monthly,Accelerated,Issued,Preferred,Approved as applied,8,Y,309.49,N
APP0000121,CUST0005282,PRD_WL100,AGT01066,2025-08-25,1000000,Monthly,Full Underwriting,Withdrawn,Preferred Plus,Customer did not proceed,4,N,7119.66,N
APP0000122,CUST0002380,PRD_TERM30,AGT00408,2025-01-09,1450000,Monthly,Full Underwriting,Issued,Preferred Plus,Approved as applied,37,Y,1835.71,N
APP0000123,CUST0010602,PRD_TERM30,AGT00691,2024-09-04,350000,Semiannual,Full Underwriting,Issued,Preferred,Approved as applied,9,Y,407.20,N
APP0000124,CUST0003209,PRD_TERM10,AGT00879,2024-12-02,350000,Monthly,Full Underwriting,Withdrawn,Standard Smoker,Price objection,14,N,1170.07,Y
APP0000125,CUST0011644,PRD_WL100,AGT00254,2023-11-07,125000,Monthly,Full Underwriting,Issued,Preferred Plus,Approved as applied,15,Y,907.70,N
APP0000126,CUST0001084,PRD_FE,AGT00017,2024-08-02,30000,Monthly,Full Underwriting,Issued,Standard,Approved as applied,34,Y,806.83,N
APP0000127,CUST0006030,PRD_WL100,AGT00834,2025-07-27,1000000,Annual,Full Underwriting,Issued,Preferred,Approved as applied,11,Y,19482.74,N
APP0000128,CUST0003845,PRD_TERM20,AGT00797,2024-04-21,300000,Monthly,Full Underwriting,Issued,Preferred,Approved as applied,20,Y,520.82,N
APP0000129,CUST0001757,PRD_WL100,AGT00009,2024-10-13,150000,Monthly,Full Underwriting,Issued,Standard,Approved as applied,23,Y,2545.42,N
APP0000130,CUST0004061,PRD_TERM10,AGT01170,2023-08-03,75000,Annual,Full Underwriting,Issued,Preferred,Approved as applied,22,Y,222.78,Y
APP0000131,CUST0001939,PRD_TERM20,AGT00719,2025-01-19,650000,Monthly,Full Underwriting,Issued,Preferred,Approved as applied,14,Y,1225.09,N
APP0000132,CUST0004400,PRD_TERM20,AGT00921,2023-10-05,575000,Monthly,Accelerated,Issued,Preferred Plus,Approved as applied,5,Y,726.96,N
APP0000133,CUST0011772,PRD_TERM30,AGT00715,2025-01-29,200000,Monthly,Full Underwriting,Issued,Preferred,Approved as applied,17,Y,575.82,N
APP0000134,CUST0007354,PRD_TERM30,AGT00851,2023-06-23,1700000,Monthly,Full Underwriting,Issued,Preferred,Approved as applied,24,Y,3952.67,N
APP0000135,CUST0003413,PRD_TERM20,AGT00685,2025-01-19,400000,Monthly,Simplified,Withdrawn,Preferred,Customer did not proceed,10,N,880.29,N
APP0000136,CUST0007561,PRD_TERM20,AGT00012,2025-03-02,650000,Quarterly,Accelerated,Issued,Standard,Approved as applied,5,Y,1272.77,N
APP0000137,CUST0010920,PRD_IUL,AGT00410,2023-09-22,650000,Monthly,Full Underwriting,Incomplete,Decline,Missing requirements,16,N,0.00,N
APP0000138,CUST0006184,PRD_WL100,AGT00822,2023-05-15,1000000,Semiannual,Full Underwriting,Issued,Preferred,Approved as applied,18,Y,18950.31,N
APP0000139,CUST0009182,PRD_TERM20,AGT00104,2025-07-03,200000,Annual,Simplified,Issued,Standard,Approved as applied,14,Y,435.49,N
APP0000140,CUST0002605,PRD_TERM20,AGT01113,2024-02-11,275000,Monthly,Full Underwriting,Issued,Preferred,Approved as applied,34,Y,446.77,N
APP0000141,CUST0005749,PRD_WL100,AGT01126,2024-04-10,825000,Monthly,Accelerated,Issued,Table 2,Approved with table rating,2,Y,13640.95,N
APP0000142,CUST0001329,PRD_TERM20,AGT00531,2024-03-11,425000,Monthly,Full Underwriting,Issued,Preferred Plus,Approved as applied,19,Y,972.58,N
APP0000143,CUST0012493,PRD_WL100,AGT00039,2023-10-13,125000,Quarterly,Accelerated,Issued,Table 4,Approved with table rating,3,Y,7689.80,N
APP0000144,CUST0009829,PRD_TERM20,AGT00846,2025-10-23,100000,Annual,Full Underwriting,Issued,Preferred,Approved as applied,25,Y,293.81,N
APP0000145,CUST0001944,PRD_WL100,AGT00275,2024-08-01,50000,Monthly,Simplified,Postponed,Standard Smoker,Pending physician statement,28,N,2511.05,N
APP0000146,CUST0003585,PRD_IUL,AGT00647,2025-03-06,850000,Monthly,Full Underwriting,Incomplete,Table 2,Missing requirements,19,N,14714.15,N
APP0000147,CUST0003552,PRD_TERM20,AGT00875,2024-06-18,550000,Annual,Simplified,Issued,Standard,Approved as applied,29,Y,855.11,N
APP0000148,CUST0005419,PRD_WL100,AGT00183,2025-07-03,1000000,Annual,Simplified,Issued,Preferred,Approved as applied,35,Y,30360.34,Y
APP0000149,CUST0000624,PRD_WL100,AGT00323,2025-04-29,75000,Annual,Accelerated,Issued,Preferred,Approved as applied,7,Y,681.50,N
APP0000150,CUST0004243,PRD_TERM20,AGT00138,2025-07-16,100000,Quarterly,Full Underwriting,Declined,Decline,Financial underwriting,14,N,0.00,N
APP0000151,CUST0003685,PRD_TERM10,AGT00149,2024-08-26,650000,Annual,Full Underwriting,Issued,Table 2,Approved with table rating,8,Y,1995.87,N
APP0000152,CUST0005531,PRD_TERM30,AGT00233,2024-06-20,125000,Monthly,Accelerated,Issued,Table 2,Approved with table rating,3,Y,312.54,N
APP0000153,CUST0001757,PRD_TERM30,AGT00909,2024-12-14,350000,Monthly,Full Underwriting,Issued,Standard,Approved as applied,13,Y,1152.30,N
APP0000154,CUST0008947,PRD_IUL,AGT00142,2023-11-11,650000,Annual,Full Underwriting,Issued,Standard,Approved as applied,33,Y,8168.56,N
APP0000155,CUST0008018,PRD_UL,AGT00044,2024-06-02,100000,Monthly,Full Underwriting,Issued,Standard,Approved as applied,16,Y,947.98,N
APP0000156,CUST0002020,PRD_IUL,AGT00506,2025-05-17,1850000,Quarterly,Accelerated,Issued,Preferred,Approved as applied,7,Y,15103.86,N
APP0000157,CUST0009428,PRD_WL100,AGT00892,2025-09-23,350000,Annual,Accelerated,Declined,Decline,Avocation/travel,8,N,0.00,N
APP0000158,CUST0001532,PRD_TERM20,AGT00262,2024-05-19,200000,Monthly,Full Underwriting,Issued,Standard,Approved as applied,15,Y,604.01,N
APP0000159,CUST0005144,PRD_TERM20,AGT00056,2023-03-17,425000,Monthly,Full Underwriting,Issued,Preferred,Approved as applied,41,Y,817.67,N
APP0000160,CUST0010692,PRD_TERM10,AGT00757,2023-06-05,200000,Monthly,Full Underwriting,Declined,Decline,Avocation/travel,14,N,0.00,N
APP0000161,CUST0009841,PRD_TERM20,AGT01105,2024-10-09,300000,Quarterly,Full Underwriting,Issued,Standard Smoker,Approved as applied,24,Y,1630.27,N
APP0000162,CUST0010154,PRD_WL100,AGT00728,2025-11-15,1000000,Semiannual,Accelerated,Issued,Standard Smoker,Approved as applied,2,Y,15388.01,N
APP0000163,CUST0010604,PRD_TERM20,AGT00351,2024-08-25,125000,Monthly,Simplified,Issued,Standard,Approved as applied,13,Y,358.96,N
APP0000164,CUST0010902,PRD_TERM30,AGT00161,2025-08-04,275000,Monthly,Accelerated,Issued,Standard,Approved as applied,7,Y,652.68,N
APP0000165,CUST0010908,PRD_TERM20,AGT01088,2023-10-28,125000,Monthly,Full Underwriting,Issued,Standard,Approved as applied,13,Y,395.51,N
APP0000166,CUST0009575,PRD_TERM10,AGT00857,2023-08-24,200000,Monthly,Accelerated,Issued,Standard,Approved as applied,5,Y,296.97,N
APP0000167,CUST0008689,PRD_TERM10,AGT00403,2025-10-23,75000,Monthly,Full Underwriting,Issued,Standard Smoker,Approved as applied,12,Y,616.84,N
APP0000168,CUST0010268,PRD_UL,AGT00283,2024-07-08,550000,Quarterly,Full Underwriting,Issued,Standard,Approved as applied,20,Y,6582.84,N
APP0000169,CUST0008933,PRD_TERM20,AGT00873,2024-04-09,850000,Monthly,Full Underwriting,Issued,Preferred,Approved as applied,23,Y,2137.47,N
APP0000170,CUST0008421,PRD_WL100,AGT00870,2025-09-17,1000000,Annual,Full Underwriting,Issued,Preferred,Approved as applied,13,Y,13221.69,N
APP0000171,CUST0003466,PRD_TERM10,AGT01188,2024-02-12,125000,Monthly,Simplified,Issued,Preferred,Approved as applied,19,Y,219.83,N
APP0000172,CUST0010875,PRD_TERM10,AGT00136,2024-03-03,125000,Monthly,Simplified,Issued,Standard,Approved as applied,21,Y,253.44,N
APP0000173,CUST0006323,PRD_IUL,AGT00893,2025-01-21,175000,Quarterly,Full Underwriting,Issued,Preferred Plus,Approved as applied,18,Y,751.39,N
APP0000174,CUST0012222,PRD_TERM20,AGT01063,2024-04-29,650000,Quarterly,Accelerated,Issued,Table 4,Approved with table rating,8,Y,3818.85,N
APP0000175,CUST0000643,PRD_WL100,AGT00916,2024-03-08,350000,Quarterly,Full Underwriting,Issued,Standard,Approved as applied,24,Y,5262.26,Y
APP0000176,CUST0002783,PRD_WL100,AGT01152,2023-12-02,700000,Annual,Accelerated,Issued,Standard,Approved as applied,2,Y,5402.18,N
APP0000177,CUST0009659,PRD_TERM10,AGT01097,2024-09-06,275000,Annual,Simplified,Issued,Preferred,Approved as applied,21,Y,426.03,N
