beneficiary_id,policy_id,beneficiary_sequence,relationship_to_insured,beneficiary_share_pct,irrevocable_flag
BEN00000043,POL0000032,1,Child,33,N
BEN00000044,POL0000032,2,Child,67,N
BEN00000045,POL0000033,1,Child,100,N
BEN00000046,POL0000034,1,Spouse,100,N
BEN00000047,POL0000035,1,Parent,100,N
BEN00000048,POL0000036,1,Spouse,100,N
BEN00000049,POL0000037,1,Spouse,75,N
BEN00000050,POL0000037,2,Spouse,25,N
BEN00000051,POL0000038,1,Child,100,N
BEN00000052,POL0000039,1,Child,100,N
BEN00000053,POL0000040,1,Other,100,N
BEN00000054,POL0000041,1,Trust,100,N
BEN00000055,POL0000042,1,Spouse,100,N
BEN00000056,POL0000043,1,Sibling,50,N
BEN00000057,POL0000043,2,Sibling,50,N
BEN00000058,POL0000044,1,Sibling,100,N
BEN00000059,POL0000045,1,Spouse,100,N
BEN00000060,POL0000046,1,Child,100,N
BEN00000061,POL0000047,1,Child,100,N
BEN00000062,POL0000048,1,Spouse,100,N
BEN00000063,POL0000049,1,Spouse,75,N
BEN00000064,POL0000049,2,Child,25,N
BEN00000065,POL0000050,1,Child,60,N
BEN00000066,POL0000050,2,Spouse,40,N
BEN00000067,POL0000051,1,Child,60,N
BEN00000068,POL0000051,2,Parent,40,N
BEN00000069,POL0000052,1,Spouse,75,N
BEN00000070,POL0000052,2,Child,25,N
BEN00000071,POL0000053,1,Child,100,N
BEN00000072,POL0000054,1,Parent,75,N
BEN00000073,POL0000054,2,Child,25,N
BEN00000074,POL0000055,1,Parent,40,N
BEN00000075,POL0000055,2,Spouse,60,N
BEN00000076,POL0000056,1,Spouse,33,N
BEN00000077,POL0000056,2,Child,67,N
BEN00000078,POL0000057,1,Child,100,N
BEN00000079,POL0000058,1,Spouse,25,N
BEN00000080,POL0000058,2,Spouse,40,N
BEN00000081,POL0000058,3,Child,35,N
BEN00000082,POL0000059,1,Spouse,100,N
BEN00000083,POL0000060,1,Spouse,40,N
BEN00000084,POL0000060,2,Parent,60,N
BEN00000085,POL0000061,1,Child,100,N
BEN00000086,POL0000062,1,Spouse,100,N
BEN00000087,POL0000063,1,Spouse,40,Y
BEN00000088,POL0000063,2,Child,60,Y
BEN00000089,POL0000064,1,Child,100,N
BEN00000090,POL0000065,1,Child,100,Y
BEN00000091,POL0000066,1,Sibling,100,N
BEN00000092,POL0000067,1,Spouse,100,N
BEN00000093,POL0000068,1,Spouse,100,N
BEN00000094,POL0000069,1,Child,55,N
BEN00000095,POL0000069,2,Child,60,N
BEN00000096,POL0000070,1,Trust,100,N
BEN00000097,POL0000071,1,Spouse,100,N
BEN00000098,POL0000072,1,Child,100,N
BEN00000099,POL0000073,1,Parent,100,N
BEN00000100,POL0000074,1,Trust,75,N
BEN00000101,POL0000074,2,Child,15,N
BEN00000102,POL0000074,3,Child,10,Y
BEN00000103,POL0000075,1,Spouse,100,N
BEN00000104,POL0000076,1,Child,100,N
BEN00000105,POL0000077,1,Spouse,100,N
BEN00000106,POL0000078,1,Trust,100,N
BEN00000107,POL0000079,1,Spouse,100,N
BEN00000108,POL0000080,1,Child,100,N
BEN00000109,POL0000081,1,Spouse,100,N
BEN00000110,POL0000082,1,Spouse,60,N
BEN00000111,POL0000082,2,Child,40,N
BEN00000112,POL0000083,1,Spouse,100,N
BEN00000113,POL0000084,1,Spouse,100,N
BEN00000114,POL0000085,1,Spouse,100,N
BEN00000115,POL0000086,1,Spouse,100,N
BEN00000116,POL0000087,1,Spouse,100,N
BEN00000117,POL0000088,1,Child,100,N
BEN00000118,POL0000089,1,Spouse,100,N
BEN00000119,POL0000090,1,Child,100,N
BEN00000120,POL0000091,1,Spouse,100,N
BEN00000121,POL0000092,1,Spouse,100,N
BEN00000122,POL0000093,1,Child,100,N
BEN00000123,POL0000094,1,Spouse,100,N
BEN00000124,POL0000095,1,Other,100,N
BEN00000125,POL0000096,1,Spouse,100,N
BEN00000126,POL0000097,1,Trust,33,N
BEN00000127,POL0000097,2,Child,67,N
BEN00000128,POL0000098,1,Spouse,100,N
BEN00000129,POL0000099,1,Spouse,40,N
BEN00000130,POL0000099,2,Child,25,N
BEN00000131,POL0000099,3,Spouse,35,N
BEN00000132,POL0000100,1,Spouse,100,N
BEN00000133,POL0000101,1,Spouse,40,N
BEN00000134,POL0000101,2,Other,60,N
BEN00000135,POL0000102,1,Parent,75,Y
BEN00000136,POL0000102,2,Spouse,25,N
BEN00000137,POL0000103,1,Child,100,N
BEN00000138,POL0000104,1,Spouse,33,N
BEN00000139,POL0000104,2,Child,67,N
BEN00000140,POL0000105,1,Child,100,N
BEN00000141,POL0000106,1,Spouse,100,N
BEN00000142,POL0000107,1,Spouse,100,Y
BEN00000143,POL0000108,1,Child,100,N
BEN00000144,POL0000109,1,Child,100,N
BEN00000145,POL0000110,1,Child,100,N
BEN00000146,POL0000111,1,Spouse,100,N
BEN00000147,POL0000112,1,Child,25,N
BEN00000148,POL0000112,2,Child,75,Y
BEN00000149,POL0000113,1,Spouse,100,N
BEN00000150,POL0000114,1,Child,100,N
BEN00000151,POL0000115,1,Parent,50,N
BEN00000152,POL0000115,2,Sibling,50,N
BEN00000153,POL0000116,1,Spouse,100,N
BEN00000154,POL0000117,1,Sibling,33,N
BEN00000155,POL0000117,2,Child,67,N
BEN00000156,POL0000118,1,Spouse,100,N
BEN00000157,POL0000119,1,Spouse,100,N
BEN00000158,POL0000120,1,Spouse,75,N
BEN00000159,POL0000120,2,Child,25,N
BEN00000160,POL0000121,1,Spouse,40,N
BEN00000161,POL0000121,2,Parent,60,N
BEN00000162,POL0000122,1,Child,100,N
BEN00000163,POL0000123,1,Child,100,N
BEN00000164,POL0000124,1,Trust,100,N
BEN00000165,POL0000125,1,Spouse,40,N
BEN00000166,POL0000125,2,Child,60,N
BEN00000167,POL0000126,1,Spouse,100,N
BEN00000168,POL0000127,1,Spouse,100,N
BEN00000169,POL0000128,1,Trust,100,N
BEN00000170,POL0000129,1,Parent,50,N
BEN00000171,POL0000129,2,Spouse,50,N
BEN00000172,POL0000130,1,Sibling,100,N
BEN00000173,POL0000131,1,Parent,100,N
BEN00000174,POL0000132,1,Child,25,N
BEN00000175,POL0000132,2,Spouse,25,N
BEN00000176,POL0000132,3,Spouse,50,N
BEN00000177,POL0000133,1,Child,100,N
BEN00000178,POL0000134,1,Sibling,100,N
BEN00000179,POL0000135,1,Parent,100,N
BEN00000180,POL0000136,1,Spouse,100,N
BEN00000181,POL0000137,1,Spouse,100,N
BEN00000182,POL0000138,1,Sibling,33,N
BEN00000183,POL0000138,2,Child,67,N
BEN00000184,POL0000139,1,Sibling,60,N
BEN00000185,POL0000139,2,Child,40,N
BEN00000186,POL0000140,1,Spouse,60,N
BEN00000187,POL0000140,2,Spouse,40,N
BEN00000188,POL0000141,1,Spouse,100,N
BEN00000189,POL0000142,1,Child,33,N
BEN00000190,POL0000142,2,Spouse,67,N
BEN00000191,POL0000143,1,Spouse,100,N
BEN00000192,POL0000144,1,Spouse,100,N
BEN00000193,POL0000145,1,Spouse,25,N
BEN00000194,POL0000145,2,Spouse,75,N
BEN00000195,POL0000146,1,Spouse,100,N
BEN00000196,POL0000147,1,Other,75,N
BEN00000197,POL0000147,2,Spouse,15,N
BEN00000198,POL0000147,3,Child,10,N
BEN00000199,POL0000148,1,Spouse,100,N
BEN00000200,POL0000149,1,Spouse,100,N
BEN00000201,POL0000150,1,Parent,100,N
BEN00000202,POL0000151,1,Spouse,100,N
BEN00000203,POL0000152,1,Spouse,33,N
BEN00000204,POL0000152,2,Spouse,67,N
BEN00000205,POL0000153,1,Child,100,N
BEN00000206,POL0000154,1,Parent,100,N
BEN00000207,POL0000155,1,Spouse,100,N
BEN00000208,POL0000156,1,Parent,100,N
BEN00000209,POL0000157,1,Spouse,50,N
BEN00000210,POL0000157,2,Spouse,40,N
BEN00000211,POL0000157,3,Parent,10,N
BEN00000212,POL0000158,1,Parent,50,N
BEN00000213,POL0000158,2,Child,50,N
BEN00000214,POL0000159,1,Parent,100,N
BEN00000215,POL0000160,1,Trust,100,N
BEN00000216,POL0000161,1,Child,100,N
BEN00000217,POL0000162,1,Spouse,100,N
BEN00000218,POL0000163,1,Spouse,100,N
BEN00000219,POL0000164,1,Spouse,100,N
BEN00000220,POL0000165,1,Spouse,100,N
BEN00000221,POL0000166,1,Spouse,25,N
BEN00000222,POL0000166,2,Spouse,75,N
BEN00000223,POL0000167,1,Spouse,100,N
BEN00000224,POL0000168,1,Spouse,50,N
BEN00000225,POL0000168,2,Spouse,50,N
BEN00000226,POL0000169,1,Spouse,50,N
BEN00000227,POL0000169,2,Spouse,50,N
BEN00000228,POL0000170,1,Child,100,N
BEN00000229,POL0000171,1,Trust,100,N
BEN00000230,POL0000172,1,Child,40,N
BEN00000231,POL0000172,2,Child,60,N
BEN00000232,POL0000173,1,Parent,100,N
BEN00000233,POL0000174,1,Other,100,N
BEN00000234,POL0000175,1,Spouse,100,N
BEN00000235,POL0000176,1,Spouse,100,N
BEN00000236,POL0000177,1,Spouse,100,N
BEN00000237,POL0000178,1,Parent,100,N
BEN00000238,POL0000179,1,Child,100,N
BEN00000239,POL0000180,1,Child,100,N
BEN00000240,POL0000181,1,Child,100,N
BEN00000241,POL0000182,1,Parent,100,N
BEN00000242,POL0000183,1,Parent,100,N
BEN00000243,POL0000184,1,Spouse,100,N
BEN00000244,POL0000185,1,Trust,100,Y
BEN00000245,POL0000186,1,Child,100,N
BEN00000246,POL0000187,1,Spouse,100,N
BEN00000247,POL0000188,1,Sibling,33,N
BEN00000248,POL0000188,2,Child,67,N
BEN00000249,POL0000189,1,Child,100,N
BEN00000250,POL0000190,1,Child,100,N
BEN00000251,POL0000191,1,Spouse,60,N
BEN00000252,POL0000191,2,Spouse,40,N
BEN00000253,POL0000192,1,Trust,100,N
BEN00000254,POL0000193,1,Spouse,100,N
BEN00000255,POL0000194,1,Spouse,100,N
BEN00000256,POL0000195,1,Parent,100,N
BEN00000257,POL0000196,1,Sibling,75,N
BEN00000258,POL0000196,2,Spouse,25,N
BEN00000259,POL0000197,1,Spouse,100,N
BEN00000260,POL0000198,1,Parent,100,N
BEN00000261,POL0000199,1,Child,100,N
BEN00000262,POL0000200,1,Spouse,100,N
BEN00000263,POL0000201,1,Trust,100,N
BEN00000264,POL0000202,1,Spouse,100,N
BEN00000265,POL0000203,1,Spouse,100,N
BEN00000266,POL0000204,1,Spouse,100,N
BEN00000267,POL0000205,1,Child,75,N
BEN00000268,POL0000205,2,Spouse,25,N
BEN00000269,POL0000206,1,Spouse,100,N
BEN00000270,POL0000207,1,Spouse,100,N
BEN00000271,POL0000208,1,Spouse,100,N
BEN00000272,POL0000209,1,Spouse,100,N
BEN00000273,POL0000210,1,Spouse,33,N
BEN00000274,POL0000210,2,Child,25,N
BEN00000275,POL0000210,3,Spouse,42,N
BEN00000276,POL0000211,1,Child,25,N
BEN00000277,POL0000211,2,Child,75,N
BEN00000278,POL0000212,1,Spouse,100,N
BEN00000279,POL0000213,1,Parent,100,Y
BEN00000280,POL0000214,1,Child,100,Y
BEN00000281,POL0000215,1,Other,25,N
BEN00000282,POL0000215,2,Child,75,N
BEN00000283,POL0000216,1,Child,100,N
BEN00000284,POL0000217,1,Child,60,N
BEN00000285,POL0000217,2,Spouse,40,N
BEN00000286,POL0000218,1,Spouse,100,N
BEN00000287,POL0000219,1,Spouse,100,N
BEN00000288,POL0000220,1,Spouse,100,N
BEN00000289,POL0000221,1,Spouse,33,N
BEN00000290,POL0000221,2,Child,33,N
BEN00000291,POL0000221,3,Spouse,34,N
BEN00000292,POL0000222,1,Spouse,100,N
BEN00000293,POL0000223,1,Child,25,N
BEN00000294,POL0000223,2,Parent,65,N
BEN00000295,POL0000223,3,Child,10,N
BEN00000296,POL0000224,1,Spouse,100,N
BEN00000297,POL0000225,1,Spouse,60,N
BEN00000298,POL0000225,2,Spouse,40,N
BEN00000299,POL0000226,1,Child,100,N
BEN00000300,POL0000227,1,Spouse,100,N
BEN00000301,POL0000228,1,Spouse,100,N
BEN00000302,POL0000229,1,Spouse,100,Y
BEN00000303,POL0000230,1,Sibling,100,N
BEN00000304,POL0000231,1,Trust,100,N
BEN00000305,POL0000232,1,Spouse,33,N
BEN00000306,POL0000232,2,Child,67,N
BEN00000307,POL0000233,1,Spouse,50,N
BEN00000308,POL0000233,2,Spouse,50,N
BEN00000309,POL0000234,1,Other,100,N
BEN00000310,POL0000235,1,Spouse,60,N
BEN00000311,POL0000235,2,Spouse,40,N
BEN00000312,POL0000236,1,Spouse,33,N
BEN00000313,POL0000236,2,Spouse,67,N
BEN00000314,POL0000237,1,Trust,100,N
BEN00000315,POL0000238,1,Child,100,N
BEN00000316,POL0000239,1,Child,100,N
BEN00000317,POL0000240,1,Spouse,100,N
BEN00000318,POL0000241,1,Other,50,N
BEN00000319,POL0000241,2,Child,50,N
BEN00000320,POL0000242,1,Child,50,N
BEN00000321,POL0000242,2,Other,50,N
BEN00000322,POL0000243,1,Spouse,75,N
BEN00000323,POL0000243,2,Spouse,25,N
BEN00000324,POL0000244,1,Spouse,100,N
BEN00000325,POL0000245,1,Spouse,40,N
BEN00000326,POL0000245,2,Spouse,60,N
BEN00000327,POL0000246,1,Spouse,100,N
BEN00000328,POL0000247,1,Trust,100,N
BEN00000329,POL0000248,1,Sibling,100,N
BEN00000330,POL0000249,1,Child,100,N
BEN00000331,POL0000250,1,Child,100,Y
BEN00000332,POL0000251,1,Child,100,N
BEN00000333,POL0000252,1,Spouse,100,N
BEN00000334,POL0000253,1,Spouse,100,N
BEN00000335,POL0000254,1,Spouse,25,N
BEN00000336,POL0000254,2,Spouse,75,N
BEN00000337,POL0000255,1,Spouse,100,N
BEN00000338,POL0000256,1,Spouse,100,N
BEN00000339,POL0000257,1,Spouse,100,N
BEN00000340,POL0000258,1,Child,100,N
BEN00000341,POL0000259,1,Parent,33,N
BEN00000342,POL0000259,2,Spouse,40,N
BEN00000343,POL0000259,3,Spouse,27,N
BEN00000344,POL0000260,1,Sibling,100,N
BEN00000345,POL0000261,1,Trust,100,N
BEN00000346,POL0000262,1,Other,100,N
BEN00000347,POL0000263,1,Spouse,100,N
BEN00000348,POL0000264,1,Spouse,100,N
BEN00000349,POL0000265,1,Trust,100,N
BEN00000350,POL0000266,1,Spouse,100,N
BEN00000351,POL0000267,1,Child,100,N
BEN00000352,POL0000268,1,Spouse,75,N
BEN00000353,POL0000268,2,Child,25,N
BEN00000354,POL0000269,1,Parent,75,N
BEN00000355,POL0000269,2,Spouse,25,N
BEN00000356,POL0000270,1,Child,100,N
BEN00000357,POL0000271,1,Sibling,100,N
BEN00000358,POL0000272,1,Child,100,N
BEN00000359,POL0000273,1,Spouse,60,N
BEN00000360,POL0000273,2,Parent,40,N
BEN00000361,POL0000274,1,Spouse,100,N
BEN00000362,POL0000275,1,Child,50,N
BEN00000363,POL0000275,2,Child,50,N
BEN00000364,POL0000276,1,Child,100,N
BEN00000365,POL0000277,1,Child,75,N
BEN00000366,POL0000277,2,Child,25,N
BEN00000367,POL0000278,1,Spouse,100,N
BEN00000368,POL0000279,1,Spouse,100,N
BEN00000369,POL0000280,1,Parent,100,N
BEN00000370,POL0000281,1,Spouse,100,N
BEN00000371,POL0000282,1,Spouse,40,N
BEN00000372,POL0000282,2,Child,40,N
BEN00000373,POL0000282,3,Parent,20,N
BEN00000374,POL0000283,1,Parent,100,N
BEN00000375,POL0000284,1,Spouse,100,N
BEN00000376,POL0000285,1,Trust,33,N
BEN00000377,POL0000285,2,Child,50,N
BEN00000378,POL0000285,3,Parent,17,N
BEN00000379,POL0000286,1,Child,100,N
BEN00000380,POL0000287,1,Spouse,40,N
BEN00000381,POL0000287,2,Child,50,N
BEN00000382,POL0000287,3,Spouse,10,N
BEN00000383,POL0000288,1,Sibling,100,N
BEN00000384,POL0000289,1,Spouse,100,N
BEN00000385,POL0000290,1,Spouse,100,N
BEN00000386,POL0000291,1,Spouse,100,N
BEN00000387,POL0000292,1,Spouse,100,N
BEN00000388,POL0000293,1,Spouse,100,N
BEN00000389,POL0000294,1,Child,100,N
BEN00000390,POL0000295,1,Sibling,100,N
BEN00000391,POL0000296,1,Spouse,100,N
BEN00000392,POL0000297,1,Spouse,100,N
BEN00000393,POL0000298,1,Spouse,40,N
BEN00000394,POL0000298,2,Spouse,60,N
BEN00000395,POL0000299,1,Child,100,N
BEN00000396,POL0000300,1,Child,25,N
BEN00000397,POL0000300,2,Other,75,Y
BEN00000398,POL0000301,1,Other,40,N
BEN00000399,POL0000301,2,Parent,60,N
BEN00000400,POL0000302,1,Child,100,N
BEN00000401,POL0000303,1,Child,100,N
BEN00000402,POL0000304,1,Child,40,N
BEN00000403,POL0000304,2,Parent,60,N
BEN00000404,POL0000305,1,Child,100,N
BEN00000405,POL0000306,1,Spouse,100,N
BEN00000406,POL0000307,1,Trust,100,N
BEN00000407,POL0000308,1,Child,100,N
BEN00000408,POL0000309,1,Spouse,40,N
BEN00000409,POL0000309,2,Spouse,60,N
BEN00000410,POL0000310,1,Spouse,100,N
BEN00000411,POL0000311,1,Child,100,N
BEN00000412,POL0000312,1,Spouse,100,N
BEN00000413,POL0000313,1,Child,40,N
BEN00000414,POL0000313,2,Child,60,N
BEN00000415,POL0000314,1,Trust,25,N
BEN00000416,POL0000314,2,Spouse,75,N
BEN00000417,POL0000315,1,Parent,100,N
BEN00000418,POL0000316,1,Child,100,N
BEN00000419,POL0000317,1,Spouse,33,N
BEN00000420,POL0000317,2,Spouse,67,N
BEN00000421,POL0000318,1,Spouse,100,N
BEN00000422,POL0000319,1,Spouse,75,N
BEN00000423,POL0000319,2,Child,25,N
BEN00000424,POL0000320,1,Parent,100,N
BEN00000425,POL0000321,1,Child,50,N
BEN00000426,POL0000321,2,Spouse,50,N
BEN00000427,POL0000322,1,Parent,100,N
BEN00000428,POL0000323,1,Parent,100,N
BEN00000429,POL0000324,1,Child,100,N
BEN00000430,POL0000325,1,Spouse,100,N
BEN00000431,POL0000326,1,Other,100,N
BEN00000432,POL0000327,1,Trust,25,Y
BEN00000433,POL0000327,2,Child,75,N
BEN00000434,POL0000328,1,Spouse,100,N
BEN00000435,POL0000329,1,Parent,100,N
BEN00000436,POL0000330,1,Other,40,N
BEN00000437,POL0000330,2,Child,60,N
BEN00000438,POL0000331,1,Spouse,100,N
BEN00000439,POL0000332,1,Spouse,100,N
BEN00000440,POL0000333,1,Spouse,100,N
BEN00000441,POL0000334,1,Spouse,100,Y
BEN00000442,POL0000335,1,Spouse,40,N
BEN00000443,POL0000335,2,Spouse,60,N
BEN00000444,POL0000336,1,Child,40,N
BEN00000445,POL0000336,2,Trust,60,N
BEN00000446,POL0000337,1,Child,100,N
BEN00000447,POL0000338,1,Parent,100,N
BEN00000448,POL0000339,1,Child,100,N
BEN00000449,POL0000340,1,Child,25,N
BEN00000450,POL0000340,2,Spouse,75,N
BEN00000451,POL0000341,1,Child,100,Y
BEN00000452,POL0000342,1,Parent,100,N
BEN00000453,POL0000343,1,Spouse,100,N
BEN00000454,POL0000344,1,Child,100,N
BEN00000455,POL0000345,1,Child,33,N
BEN00000456,POL0000345,2,Spouse,57,N
BEN00000457,POL0000345,3,Spouse,10,N
BEN00000458,POL0000346,1,Spouse,100,N
BEN00000459,POL0000347,1,Child,40,N
BEN00000460,POL0000347,2,Parent,60,N
BEN00000461,POL0000348,1,Spouse,50,N
BEN00000462,POL0000348,2,Spouse,50,N
BEN00000463,POL0000349,1,Trust,100,N
BEN00000464,POL0000350,1,Child,100,N
BEN00000465,POL0000351,1,Spouse,33,N
BEN00000466,POL0000351,2,Child,67,N
BEN00000467,POL0000352,1,Parent,100,N
BEN00000468,POL0000353,1,Sibling,75,N
BEN00000469,POL0000353,2,Parent,25,N
BEN00000470,POL0000354,1,Spouse,25,N
BEN00000471,POL0000354,2,Sibling,75,N
BEN00000472,POL0000355,1,Spouse,50,N
BEN00000473,POL0000355,2,Spouse,50,N
BEN00000474,POL0000356,1,Spouse,100,N
BEN00000475,POL0000357,1,Spouse,100,N
BEN00000476,POL0000358,1,Child,60,N
BEN00000477,POL0000358,2,Child,40,N
BEN00000478,POL0000359,1,Sibling,100,N
BEN00000479,POL0000360,1,Spouse,100,N
BEN00000480,POL0000361,1,Parent,100,Y
BEN00000481,POL0000362,1,Child,100,N
BEN00000482,POL0000363,1,Spouse,50,N
BEN00000483,POL0000363,2,Parent,50,N
BEN00000484,POL0000364,1,Sibling,50,N
BEN00000485,POL0000364,2,Child,50,N
BEN00000486,POL0000365,1,Spouse,100,N
BEN00000487,POL0000366,1,Child,100,N
BEN00000488,POL0000367,1,Child,60,Y
BEN00000489,POL0000367,2,Spouse,40,N
BEN00000490,POL0000368,1,Spouse,75,N
BEN00000491,POL0000368,2,Spouse,25,N
BEN00000492,POL0000369,1,Spouse,100,N
BEN00000493,POL0000370,1,Spouse,100,N
BEN00000494,POL0000371,1,Spouse,100,N
BEN00000495,POL0000372,1,Spouse,100,N
BEN00000496,POL0000373,1,Spouse,100,N
BEN00000497,POL0000374,1,Child,100,N
BEN00000498,POL0000375,1,Spouse,100,N
BEN00000499,POL0000376,1,Spouse,40,N
BEN00000500,POL0000376,2,Spouse,60,N
BEN00000501,POL0000377,1,Child,40,N
BEN00000502,POL0000377,2,Parent,60,N
BEN00000503,POL0000378,1,Spouse,100,N
BEN00000504,POL0000379,1,Spouse,100,N
BEN00000505,POL0000380,1,Child,50,N
BEN00000506,POL0000380,2,Spouse,50,N
BEN00000507,POL0000381,1,Parent,100,N
BEN00000508,POL0000382,1,Child,100,N
BEN00000509,POL0000383,1,Spouse,60,N
BEN00000510,POL0000383,2,Parent,30,N
BEN00000511,POL0000383,3,Spouse,10,N
BEN00000512,POL0000384,1,Sibling,25,N
BEN00000513,POL0000384,2,Sibling,33,N
BEN00000514,POL0000384,3,Spouse,42,N
BEN00000515,POL0000385,1,Spouse,25,N
BEN00000516,POL0000385,2,Spouse,75,N
BEN00000517,POL0000386,1,Spouse,100,N
BEN00000518,POL0000387,1,Spouse,100,N
BEN00000519,POL0000388,1,Spouse,100,N
BEN00000520,POL0000389,1,Spouse,100,Y
BEN00000521,POL0000390,1,Spouse,100,N
BEN00000522,POL0000391,1,Spouse,50,N
BEN00000523,POL0000391,2,Child,50,N
BEN00000524,POL0000392,1,Spouse,40,N
BEN00000525,POL0000392,2,Spouse,60,N
BEN00000526,POL0000393,1,Child,100,N
BEN00000527,POL0000394,1,Spouse,100,N
BEN00000528,POL0000395,1,Spouse,60,N
BEN00000529,POL0000395,2,Child,40,N
BEN00000530,POL0000396,1,Spouse,100,N
BEN00000531,POL0000397,1,Spouse,100,N
BEN00000532,POL0000398,1,Spouse,100,N
BEN00000533,POL0000399,1,Spouse,100,N
BEN00000534,POL0000400,1,Child,100,N
BEN00000535,POL0000401,1,Spouse,40,N
BEN00000536,POL0000401,2,Child,60,N
BEN00000537,POL0000402,1,Child,100,N
BEN00000538,POL0000403,1,Parent,75,N
BEN00000539,POL0000403,2,Spouse,25,N
BEN00000540,POL0000404,1,Spouse,100,N
BEN00000541,POL0000405,1,Sibling,100,N
BEN00000542,POL0000406,1,Parent,100,N
BEN00000543,POL0000407,1,Trust,100,N
BEN00000544,POL0000408,1,Spouse,100,N
BEN00000545,POL0000409,1,Other,100,N
BEN00000546,POL0000410,1,Child,100,N
BEN00000547,POL0000411,1,Spouse,100,N
BEN00000548,POL0000412,1,Child,100,N
BEN00000549,POL0000413,1,Child,33,N
BEN00000550,POL0000413,2,Spouse,67,N
BEN00000551,POL0000414,1,Spouse,100,N
BEN00000552,POL0000415,1,Parent,40,N
BEN00000553,POL0000415,2,Spouse,50,N
BEN00000554,POL0000415,3,Spouse,10,N
BEN00000555,POL0000416,1,Spouse,100,N
BEN00000556,POL0000417,1,Child,100,N
BEN00000557,POL0000418,1,Child,100,N
BEN00000558,POL0000419,1,Spouse,100,N
BEN00000559,POL0000420,1,Child,25,N
BEN00000560,POL0000420,2,Spouse,75,N
BEN00000561,POL0000421,1,Sibling,100,N
BEN00000562,POL0000422,1,Sibling,100,N
BEN00000563,POL0000423,1,Child,33,N
BEN00000564,POL0000423,2,Parent,67,N
BEN00000565,POL0000424,1,Spouse,100,N
BEN00000566,POL0000425,1,Parent,100,N
BEN00000567,POL0000426,1,Spouse,100,N
BEN00000568,POL0000427,1,Spouse,100,N
BEN00000569,POL0000428,1,Spouse,100,N
BEN00000570,POL0000429,1,Spouse,100,N
BEN00000571,POL0000430,1,Trust,25,N
BEN00000572,POL0000430,2,Sibling,60,N
BEN00000573,POL0000430,3,Parent,15,N
BEN00000574,POL0000431,1,Spouse,100,N
BEN00000575,POL0000432,1,Parent,100,N
BEN00000576,POL0000433,1,Trust,100,N
BEN00000577,POL0000434,1,Sibling,100,N
BEN00000578,POL0000435,1,Sibling,33,N
BEN00000579,POL0000435,2,Spouse,67,N
BEN00000580,POL0000436,1,Spouse,100,N
BEN00000581,POL0000437,1,Spouse,100,N
BEN00000582,POL0000438,1,Spouse,40,N
BEN00000583,POL0000438,2,Trust,60,N
BEN00000584,POL0000439,1,Sibling,100,N
BEN00000585,POL0000440,1,Spouse,100,N
BEN00000586,POL0000441,1,Other,75,Y
BEN00000587,POL0000441,2,Child,25,N
BEN00000588,POL0000442,1,Spouse,100,N
BEN00000589,POL0000443,1,Child,40,N
BEN00000590,POL0000443,2,Child,60,Y
BEN00000591,POL0000444,1,Child,100,N
BEN00000592,POL0000445,1,Trust,100,N
BEN00000593,POL0000446,1,Child,100,N
BEN00000594,POL0000447,1,Child,100,N
BEN00000595,POL0000448,1,Spouse,100,N
BEN00000596,POL0000449,1,Spouse,100,N
BEN00000597,POL0000450,1,Sibling,60,N
