policy_id,application_id,customer_id,product_id,agent_id,issue_date,policy_status,face_amount,annual_premium,payment_frequency,risk_class,underwriting_path,owner_state,issue_age,smoker_status_at_issue,billing_method,replacement_indicator
POL0000013,APP0000016,CUST0000899,PRD_TERM30,AGT00974,2025-05-31,Active,575000,1297.33,Monthly,Preferred,Full Underwriting,KY,42,Former,Credit Card,N
POL0000014,APP0000017,CUST0001955,PRD_TERM20,AGT00910,2023-04-05,Active,425000,509.69,Monthly,Preferred Plus,Accelerated,ME,35,Never,ACH,N
POL0000015,APP0000018,CUST0012380,PRD_WL100,AGT00755,2023-12-28,Active,75000,614.86,Monthly,Preferred,Simplified,OK,30,Never,Direct Bill,N
POL0000016,APP0000020,CUST0004131,PRD_IUL,AGT00696,2024-05-05,Active,650000,7729.35,Monthly,Standard,Full Underwriting,IA,56,Never,ACH,N
POL0000017,APP0000021,CUST0011643,PRD_TERM30,AGT00736,2025-05-29,Active,1275000,1775.48,Monthly,Preferred,Full Underwriting,MO,28,Never,Credit Card,N
POL0000018,APP0000022,CUST0011875,PRD_WL100,AGT00962,2023-03-29,Active,150000,1403.40,Monthly,Standard,Simplified,VT,31,Never,Credit Card,N
POL0000019,APP0000023,CUST0010762,PRD_TERM20,AGT00441,2023-10-02,Active,575000,858.94,Monthly,Preferred,Accelerated,CO,38,Never,Direct Bill,N
POL0000020,APP0000024,CUST0010593,PRD_TERM30,AGT01000,2023-09-26,Active,425000,1079.93,Monthly,Preferred,Full Underwriting,GA,46,Never,Direct Bill,N
POL0000021,APP0000025,CUST0002041,PRD_TERM10,AGT00079,2025-11-29,Active,1450000,3930.35,Monthly,Preferred,Simplified,AL,70,Never,Credit Card,N
POL0000022,APP0000026,CUST0009612,PRD_TERM30,AGT00393,2023-07-29,Active,575000,2954.50,Annual,Table 2,Guaranteed Issue,IA,49,Current,Direct Bill,N
POL0000023,APP0000027,CUST0002727,PRD_WL100,AGT00263,2023-01-17,Active,650000,4206.56,Monthly,Preferred,Accelerated,KS,24,Former,ACH,N
POL0000024,APP0000028,CUST0003872,PRD_TERM20,AGT01062,2023-06-06,Active,125000,207.65,Monthly,Standard,Full Underwriting,OK,29,Former,Credit Card,N
POL0000025,APP0000029,CUST0004160,PRD_TERM20,AGT00474,2025-01-10,Lapsed,425000,637.97,Monthly,Standard,Full Underwriting,VA,32,Never,ACH,N
POL0000026,APP0000030,CUST0010703,PRD_TERM30,AGT00963,2024-02-27,Active,125000,377.89,Semiannual,Preferred,Simplified,IN,49,Never,ACH,N
POL0000027,APP0000031,CUST0008353,PRD_TERM10,AGT00875,2024-06-02,Lapsed,300000,269.39,Monthly,Preferred Plus,Full Underwriting,TX,27,Never,ACH,Y
POL0000028,APP0000034,CUST0000369,PRD_TERM30,AGT00905,2023-06-12,Active,300000,654.91,Annual,Standard,Accelerated,PA,34,Never,ACH,N
POL0000029,APP0000035,CUST0000838,PRD_TERM30,AGT00372,2023-10-12,Active,725000,1276.55,Monthly,Table 2,Full Underwriting,MT,18,Never,ACH,N
POL0000030,APP0000038,CUST0001157,PRD_TERM20,AGT00974,2025-07-13,Active,200000,303.45,Monthly,Standard,Full Underwriting,ME,26,Never,ACH,N
POL0000031,APP0000040,CUST0001983,PRD_TERM20,AGT00386,2024-12-12,Active,1275000,4480.94,Monthly,Standard Smoker,Simplified,NY,33,Current,Direct Bill,Y
POL0000032,APP0000046,CUST0007382,PRD_TERM30,AGT00306,2023-03-01,Active,550000,1600.77,Monthly,Standard,Accelerated,PA,49,Former,Credit Card,N
POL0000033,APP0000047,CUST0010859,PRD_WL100,AGT00004,2024-08-03,Active,150000,7767.06,Annual,Table 2,Simplified,NE,78,Former,ACH,N
POL0000034,APP0000048,CUST0010991,PRD_WL100,AGT00085,2024-04-12,Active,300000,4111.23,Monthly,Preferred,Accelerated,FL,51,Never,Credit Card,Y
POL0000035,APP0000051,CUST0006852,PRD_UL,AGT01131,2023-11-05,Active,175000,763.00,Monthly,Preferred,Full Underwriting,SD,25,Never,Credit Card,N
POL0000036,APP0000054,CUST0009729,PRD_WL100,AGT00456,2023-12-22,Surrendered,575000,5182.07,Quarterly,Preferred,Accelerated,NH,36,Never,Credit Card,N
POL0000037,APP0000055,CUST0002179,PRD_WL100,AGT01072,2023-08-19,Active,75000,699.32,Monthly,Preferred,Simplified,MS,35,Never,Credit Card,N
POL0000038,APP0000057,CUST0001360,PRD_WL100,AGT00864,2024-03-11,Active,125000,1103.84,Monthly,Preferred,Accelerated,AR,31,Never,Credit Card,N
POL0000039,APP0000059,CUST0001837,PRD_FE,AGT00885,2024-12-19,Active,20000,896.64,Monthly,Table 2,Accelerated,NM,56,Former,ACH,N
POL0000040,APP0000060,CUST0008864,PRD_IUL,AGT00852,2025-07-07,Active,125000,958.27,Annual,Preferred,Simplified,AK,44,Never,Credit Card,N
POL0000041,APP0000062,CUST0007752,PRD_WL100,AGT00851,2024-10-04,Active,125000,1481.17,Monthly,Preferred,Full Underwriting,HI,42,Never,ACH,N
POL0000042,APP0000064,CUST0005834,PRD_TERM20,AGT00935,2025-06-19,Active,200000,346.19,Monthly,Preferred,Full Underwriting,UT,37,Former,ACH,N
POL0000043,APP0000065,CUST0012485,PRD_UL,AGT00253,2024-04-10,Lapsed,225000,3346.83,Semiannual,Preferred,Full Underwriting,UT,74,Never,Credit Card,N
POL0000044,APP0000066,CUST0006841,PRD_IUL,AGT00507,2023-03-10,Active,1150000,10631.97,Quarterly,Standard,Full Underwriting,WA,47,Never,Credit Card,N
POL0000045,APP0000067,CUST0006804,PRD_TERM20,AGT00854,2024-10-16,Active,100000,242.67,Monthly,Preferred Plus,Simplified,ID,56,Never,Direct Bill,N
POL0000046,APP0000071,CUST0011362,PRD_WL100,AGT01079,2025-03-14,Active,850000,7554.36,Monthly,Preferred Plus,Full Underwriting,NC,42,Never,ACH,N
POL0000047,APP0000072,CUST0005113,PRD_UL,AGT00546,2023-09-11,Active,1050000,4533.39,Annual,Preferred Plus,Full Underwriting,IL,33,Never,Payroll Deduction,N
POL0000048,APP0000074,CUST0012428,PRD_TERM30,AGT01090,2025-09-21,Active,1800000,1638.14,Semiannual,Preferred Plus,Full Underwriting,NY,19,Never,ACH,N
POL0000049,APP0000075,CUST0010929,PRD_TERM20,AGT01050,2025-11-12,Active,1150000,3120.45,Quarterly,Preferred,Full Underwriting,NC,61,Never,ACH,N
POL0000050,APP0000076,CUST0002639,PRD_TERM10,AGT00564,2025-10-21,Active,175000,295.35,Monthly,Preferred,Full Underwriting,ID,44,Never,Credit Card,N
POL0000051,APP0000077,CUST0011938,PRD_IUL,AGT01108,2024-04-13,Active,275000,4459.21,Monthly,Standard,Full Underwriting,IL,67,Never,ACH,N
POL0000052,APP0000078,CUST0001469,PRD_TERM20,AGT00796,2023-12-08,Active,1275000,2488.92,Monthly,Preferred,Full Underwriting,KS,46,Never,ACH,N
POL0000053,APP0000079,CUST0002118,PRD_IUL,AGT00722,2023-12-30,Lapsed,125000,1264.21,Monthly,Standard,Full Underwriting,HI,46,Never,Payroll Deduction,N
POL0000054,APP0000080,CUST0000005,PRD_TERM20,AGT01080,2024-04-16,Active,425000,908.12,Annual,Preferred,Accelerated,CT,48,Never,ACH,N
POL0000055,APP0000081,CUST0010707,PRD_TERM20,AGT01155,2024-04-20,Lapsed,125000,291.34,Annual,Preferred Plus,Full Underwriting,WA,56,Never,Payroll Deduction,N
POL0000056,APP0000082,CUST0003543,PRD_UL,AGT01067,2024-01-07,Active,425000,2945.11,Quarterly,Standard,Simplified,MD,41,Former,Payroll Deduction,N
POL0000057,APP0000083,CUST0008602,PRD_TERM20,AGT00992,2024-03-28,Active,650000,715.99,Monthly,Preferred Plus,Full Underwriting,MA,30,Never,ACH,N
POL0000058,APP0000084,CUST0001960,PRD_TERM30,AGT00330,2023-04-29,Active,100000,234.12,Quarterly,Standard,Full Underwriting,LA,34,Never,ACH,N
POL0000059,APP0000085,CUST0005195,PRD_TERM30,AGT00527,2023-09-22,Active,225000,408.14,Quarterly,Preferred,Simplified,FL,34,Never,ACH,N
POL0000060,APP0000086,CUST0001536,PRD_UL,AGT00092,2023-10-14,Lapsed,100000,1171.94,Monthly,Standard,Simplified,OH,56,Never,Payroll Deduction,N
POL0000061,APP0000087,CUST0000334,PRD_TERM20,AGT00894,2025-04-23,Active,275000,706.43,Monthly,Table 2,Full Underwriting,KS,39,Never,Payroll Deduction,N
POL0000062,APP0000088,CUST0003056,PRD_IUL,AGT00318,2025-05-30,Active,150000,2235.58,Annual,Preferred,Full Underwriting,WI,66,Never,ACH,N
POL0000063,APP0000089,CUST0005058,PRD_WL100,AGT00880,2023-06-08,Active,925000,11393.40,Monthly,Standard,Full Underwriting,DC,42,Never,ACH,N
POL0000064,APP0000091,CUST0011642,PRD_UL,AGT00510,2023-11-04,Lapsed,100000,875.98,Monthly,Standard,Simplified,MS,48,Former,Direct Bill,N
POL0000065,APP0000092,CUST0012450,PRD_TERM20,AGT00041,2023-04-09,Active,150000,460.06,Monthly,Preferred,Full Underwriting,MN,59,Never,Credit Card,N
POL0000066,APP0000094,CUST0008228,PRD_TERM20,AGT00873,2023-06-24,Active,150000,368.91,Monthly,Preferred,Full Underwriting,NC,50,Never,Direct Bill,N
POL0000067,APP0000095,CUST0006116,PRD_TERM20,AGT00215,2024-12-18,Active,425000,942.92,Monthly,Standard,Full Underwriting,CT,47,Former,Direct Bill,N
POL0000068,APP0000098,CUST0002891,PRD_TERM30,AGT00245,2025-10-25,Active,2175000,2835.63,Monthly,Preferred,Full Underwriting,VA,26,Never,Credit Card,N
POL0000069,APP0000100,CUST0006253,PRD_TERM30,AGT01083,2024-05-20,Active,850000,1700.54,Quarterly,Preferred,Accelerated,ID,41,Never,ACH,N
POL0000070,APP0000101,CUST0003132,PRD_WL100,AGT01032,2023-08-28,Active,275000,1939.43,Quarterly,Preferred Plus,Simplified,ID,30,Never,ACH,Y
POL0000071,APP0000102,CUST0006236,PRD_TERM20,AGT00367,2024-05-31,Active,650000,3750.85,Annual,Table 4,Accelerated,RI,51,Current,ACH,N
POL0000072,APP0000103,CUST0001694,PRD_TERM10,AGT00483,2025-06-21,Active,575000,883.59,Annual,Preferred,Full Underwriting,NM,48,Never,Direct Bill,N
POL0000073,APP0000104,CUST0001036,PRD_WL100,AGT00237,2023-12-01,Active,200000,1477.93,Monthly,Preferred,Full Underwriting,NC,28,Never,ACH,N
POL0000074,APP0000105,CUST0006829,PRD_TERM20,AGT00272,2025-10-09,Active,275000,687.47,Quarterly,Preferred,Full Underwriting,NH,53,Never,Direct Bill,N
POL0000075,APP0000106,CUST0000522,PRD_TERM30,AGT00255,2024-06-05,Active,125000,427.58,Monthly,Table 2,Accelerated,KY,39,Former,Payroll Deduction,N
POL0000076,APP0000107,CUST0010851,PRD_IUL,AGT00904,2024-01-23,Active,150000,1025.45,Monthly,Preferred,Accelerated,MI,40,Never,ACH,N
POL0000077,APP0000108,CUST0009959,PRD_TERM10,AGT01050,2023-06-01,Active,275000,661.50,Annual,Standard,Simplified,AK,55,Never,ACH,N
POL0000078,APP0000110,CUST0010649,PRD_WL100,AGT00905,2024-07-28,Lapsed,75000,2480.15,Monthly,Standard,Simplified,DC,74,Never,Direct Bill,N
POL0000079,APP0000111,CUST0007377,PRD_IUL,AGT00723,2024-03-24,Active,100000,484.84,Monthly,Preferred Plus,Accelerated,VT,32,Never,ACH,Y
POL0000080,APP0000112,CUST0007990,PRD_TERM30,AGT00186,2024-05-14,Active,300000,1651.06,Monthly,Table 2,Full Underwriting,PA,51,Current,ACH,N
POL0000081,APP0000113,CUST0006455,PRD_TERM30,AGT00868,2024-02-22,Active,575000,958.31,Monthly,Preferred Plus,Simplified,OR,37,Never,Payroll Deduction,N
POL0000082,APP0000114,CUST0008601,PRD_TERM20,AGT00109,2024-09-28,Active,350000,312.97,Annual,Preferred Plus,Accelerated,SC,22,Never,ACH,N
POL0000083,APP0000115,CUST0011101,PRD_TERM30,AGT01056,2023-06-11,Active,1450000,3078.60,Monthly,Preferred Plus,Full Underwriting,FL,47,Never,ACH,N
POL0000084,APP0000117,CUST0005977,PRD_TERM20,AGT00768,2025-07-28,Active,850000,2046.34,Monthly,Table 2,Simplified,GA,33,Current,ACH,N
POL0000085,APP0000118,CUST0005438,PRD_TERM30,AGT00719,2024-06-29,Active,1275000,2787.90,Annual,Preferred Plus,Full Underwriting,MS,48,Never,ACH,N
POL0000086,APP0000119,CUST0000481,PRD_TERM20,AGT00472,2025-01-18,Active,575000,872.65,Quarterly,Preferred Plus,Full Underwriting,NM,45,Never,ACH,N
POL0000087,APP0000120,CUST0002109,PRD_TERM10,AGT00713,2024-12-07,Active,175000,309.49,Monthly,Preferred,Accelerated,NY,46,Never,Credit Card,N
POL0000088,APP0000122,CUST0002380,PRD_TERM30,AGT00408,2025-02-22,Active,1450000,1835.71,Monthly,Preferred Plus,Full Underwriting,NH,31,Former,Credit Card,N
POL0000089,APP0000123,CUST0010602,PRD_TERM30,AGT00691,2024-09-17,Active,350000,407.20,Semiannual,Preferred,Full Underwriting,CO,18,Never,Credit Card,N
POL0000090,APP0000125,CUST0011644,PRD_WL100,AGT00254,2023-11-28,Surrendered,125000,907.70,Monthly,Preferred Plus,Full Underwriting,NE,33,Never,Credit Card,N
POL0000091,APP0000126,CUST0001084,PRD_FE,AGT00017,2024-09-09,Active,30000,806.83,Monthly,Standard,Full Underwriting,MI,50,Never,Credit Card,N
POL0000092,APP0000127,CUST0006030,PRD_WL100,AGT00834,2025-08-10,Active,1000000,19482.74,Annual,Preferred,Full Underwriting,VT,64,Never,Credit Card,N
POL0000093,APP0000128,CUST0003845,PRD_TERM20,AGT00797,2024-05-14,Active,300000,520.82,Monthly,Preferred,Full Underwriting,VA,42,Never,Direct Bill,N
POL0000094,APP0000129,CUST0001757,PRD_WL100,AGT00009,2024-11-09,Active,150000,2545.42,Monthly,Standard,Full Underwriting,ME,50,Never,ACH,N
POL0000095,APP0000130,CUST0004061,PRD_TERM10,AGT01170,2023-08-30,Active,75000,222.78,Annual,Preferred,Full Underwriting,ID,62,Former,Direct Bill,Y
POL0000096,APP0000131,CUST0001939,PRD_TERM20,AGT00719,2025-02-06,Active,650000,1225.09,Monthly,Preferred,Full Underwriting,PA,47,Never,ACH,N
POL0000097,APP0000132,CUST0004400,PRD_TERM20,AGT00921,2023-10-14,Active,575000,726.96,Monthly,Preferred Plus,Accelerated,NM,35,Never,Credit Card,N
POL0000098,APP0000133,CUST0011772,PRD_TERM30,AGT00715,2025-02-16,Active,200000,575.82,Monthly,Preferred,Full Underwriting,DE,49,Never,Credit Card,N
POL0000099,APP0000134,CUST0007354,PRD_TERM30,AGT00851,2023-07-20,Surrendered,1700000,3952.67,Monthly,Preferred,Full Underwriting,ID,44,Never,ACH,N
POL0000100,APP0000136,CUST0007561,PRD_TERM20,AGT00012,2025-03-13,Active,650000,1272.77,Quarterly,Standard,Accelerated,KY,43,Never,ACH,N
POL0000101,APP0000138,CUST0006184,PRD_WL100,AGT00822,2023-06-08,Active,1000000,18950.31,Semiannual,Preferred,Full Underwriting,UT,63,Never,ACH,N
POL0000102,APP0000139,CUST0009182,PRD_TERM20,AGT00104,2025-07-23,Active,200000,435.49,Annual,Standard,Simplified,TN,41,Never,ACH,N
POL0000103,APP0000140,CUST0002605,PRD_TERM20,AGT01113,2024-03-22,Active,275000,446.77,Monthly,Preferred,Full Underwriting,DE,39,Never,ACH,N
POL0000104,APP0000141,CUST0005749,PRD_WL100,AGT01126,2024-04-12,Active,825000,13640.95,Monthly,Table 2,Accelerated,MI,37,Never,Payroll Deduction,N
POL0000105,APP0000142,CUST0001329,PRD_TERM20,AGT00531,2024-04-01,Active,425000,972.58,Monthly,Preferred Plus,Full Underwriting,IA,60,Never,Direct Bill,N
POL0000106,APP0000143,CUST0012493,PRD_WL100,AGT00039,2023-10-22,Active,125000,7689.80,Quarterly,Table 4,Accelerated,TN,71,Current,ACH,N
POL0000107,APP0000144,CUST0009829,PRD_TERM20,AGT00846,2025-11-17,Active,100000,293.81,Annual,Preferred,Full Underwriting,OH,58,Never,ACH,N
POL0000108,APP0000147,CUST0003552,PRD_TERM20,AGT00875,2024-07-24,Active,550000,855.11,Annual,Standard,Simplified,AK,34,Never,Direct Bill,N
POL0000109,APP0000148,CUST0005419,PRD_WL100,AGT00183,2025-08-09,Active,1000000,30360.34,Annual,Preferred,Simplified,IL,77,Never,ACH,Y
POL0000110,APP0000149,CUST0000624,PRD_WL100,AGT00323,2025-05-06,Active,75000,681.50,Annual,Preferred,Accelerated,UT,31,Former,Direct Bill,N
POL0000111,APP0000151,CUST0003685,PRD_TERM10,AGT00149,2024-09-04,Active,650000,1995.87,Annual,Table 2,Full Underwriting,OH,53,Never,Credit Card,N
POL0000112,APP0000152,CUST0005531,PRD_TERM30,AGT00233,2024-06-30,Active,125000,312.54,Monthly,Table 2,Accelerated,IN,23,Never,ACH,N
POL0000113,APP0000153,CUST0001757,PRD_TERM30,AGT00909,2025-01-02,Lapsed,350000,1152.30,Monthly,Standard,Full Underwriting,ME,50,Never,ACH,N
POL0000114,APP0000154,CUST0008947,PRD_IUL,AGT00142,2023-12-17,Active,650000,8168.56,Annual,Standard,Full Underwriting,SC,55,Never,Credit Card,N
POL0000115,APP0000155,CUST0008018,PRD_UL,AGT00044,2024-06-23,Active,100000,947.98,Monthly,Standard,Full Underwriting,NC,48,Former,Credit Card,N
POL0000116,APP0000156,CUST0002020,PRD_IUL,AGT00506,2025-05-29,Active,1850000,15103.86,Quarterly,Preferred,Accelerated,OR,45,Never,ACH,N
POL0000117,APP0000158,CUST0001532,PRD_TERM20,AGT00262,2024-06-03,Active,200000,604.01,Monthly,Standard,Full Underwriting,OK,54,Never,ACH,N
POL0000118,APP0000159,CUST0005144,PRD_TERM20,AGT00056,2023-05-02,Active,425000,817.67,Monthly,Preferred,Full Underwriting,MS,44,Never,ACH,N
POL0000119,APP0000161,CUST0009841,PRD_TERM20,AGT01105,2024-11-07,Active,300000,1630.27,Quarterly,Standard Smoker,Full Underwriting,OK,45,Current,ACH,N
POL0000120,APP0000162,CUST0010154,PRD_WL100,AGT00728,2025-11-17,Active,1000000,15388.01,Semiannual,Standard Smoker,Accelerated,OK,18,Current,Credit Card,N
POL0000121,APP0000163,CUST0010604,PRD_TERM20,AGT00351,2024-09-09,Active,125000,358.96,Monthly,Standard,Simplified,IL,50,Former,ACH,N
POL0000122,APP0000164,CUST0010902,PRD_TERM30,AGT00161,2025-08-17,Active,275000,652.68,Monthly,Standard,Accelerated,MN,37,Never,ACH,N
POL0000123,APP0000165,CUST0010908,PRD_TERM20,AGT01088,2023-11-15,Active,125000,395.51,Monthly,Standard,Full Underwriting,WI,54,Never,ACH,N
POL0000124,APP0000166,CUST0009575,PRD_TERM10,AGT00857,2023-08-29,Active,200000,296.97,Monthly,Standard,Accelerated,CT,37,Former,ACH,N
POL0000125,APP0000167,CUST0008689,PRD_TERM10,AGT00403,2025-11-04,Active,75000,616.84,Monthly,Standard Smoker,Full Underwriting,GA,67,Current,ACH,N
POL0000126,APP0000168,CUST0010268,PRD_UL,AGT00283,2024-07-29,Active,550000,6582.84,Quarterly,Standard,Full Underwriting,AZ,58,Never,Direct Bill,N
POL0000127,APP0000169,CUST0008933,PRD_TERM20,AGT00873,2024-05-08,Active,850000,2137.47,Monthly,Preferred,Full Underwriting,MA,55,Never,Credit Card,N
POL0000128,APP0000170,CUST0008421,PRD_WL100,AGT00870,2025-10-03,Active,1000000,13221.69,Annual,Preferred,Full Underwriting,NJ,47,Never,Direct Bill,N
POL0000129,APP0000171,CUST0003466,PRD_TERM10,AGT01188,2024-03-02,Active,125000,219.83,Monthly,Preferred,Simplified,SD,46,Never,ACH,N
POL0000130,APP0000172,CUST0010875,PRD_TERM10,AGT00136,2024-03-26,Active,125000,253.44,Monthly,Standard,Simplified,CA,44,Former,ACH,N
POL0000131,APP0000173,CUST0006323,PRD_IUL,AGT00893,2025-02-11,Active,175000,751.39,Quarterly,Preferred Plus,Full Underwriting,WA,26,Never,ACH,N
POL0000132,APP0000174,CUST0012222,PRD_TERM20,AGT01063,2024-05-12,Active,650000,3818.85,Quarterly,Table 4,Accelerated,TX,60,Never,Direct Bill,N
POL0000133,APP0000175,CUST0000643,PRD_WL100,AGT00916,2024-04-04,Active,350000,5262.26,Quarterly,Standard,Full Underwriting,OH,49,Never,Credit Card,Y
POL0000134,APP0000176,CUST0002783,PRD_WL100,AGT01152,2023-12-08,Active,700000,5402.18,Annual,Standard,Accelerated,ID,25,Never,ACH,N
POL0000135,APP0000177,CUST0009659,PRD_TERM10,AGT01097,2024-09-29,Active,275000,426.03,Annual,Preferred,Simplified,WY,46,Never,ACH,N
POL0000136,APP0000178,CUST0004596,PRD_TERM20,AGT01053,2023-09-15,Active,650000,845.84,Monthly,Preferred,Full Underwriting,AL,33,Never,Credit Card,N
POL0000137,APP0000179,CUST0008783,PRD_TERM30,AGT00398,2024-12-16,Active,100000,275.16,Annual,Preferred Plus,Accelerated,HI,53,Never,ACH,N
POL0000138,APP0000180,CUST0006717,PRD_TERM30,AGT00823,2024-09-28,Active,225000,485.44,Monthly,Preferred,Full Underwriting,NE,41,Never,Credit Card,N
POL0000139,APP0000183,CUST0010127,PRD_WL100,AGT00570,2023-08-12,Active,175000,6869.40,Monthly,Table 2,Full Underwriting,CA,68,Never,Credit Card,N
POL0000140,APP0000185,CUST0003623,PRD_TERM20,AGT00604,2024-02-17,Active,300000,1150.63,Semiannual,Standard Smoker,Simplified,VT,35,Current,ACH,N
POL0000141,APP0000188,CUST0011743,PRD_IUL,AGT00198,2024-01-26,Active,150000,780.27,Monthly,Preferred Plus,Full Underwriting,AK,36,Never,Direct Bill,N
POL0000142,APP0000189,CUST0009074,PRD_TERM20,AGT00835,2024-10-31,Active,1450000,3756.61,Monthly,Standard,Simplified,NJ,54,Never,ACH,N
POL0000143,APP0000190,CUST0010357,PRD_TERM10,AGT00835,2023-11-27,Active,225000,413.39,Monthly,Preferred,Accelerated,ID,52,Former,Payroll Deduction,N
POL0000144,APP0000191,CUST0003747,PRD_TERM20,AGT00410,2025-01-18,Active,725000,1117.06,Monthly,Preferred Plus,Full Underwriting,WA,46,Former,ACH,N
POL0000145,APP0000195,CUST0008788,PRD_WL100,AGT01146,2024-10-15,Active,425000,6557.94,Quarterly,Standard,Full Underwriting,WY,50,Never,Credit Card,N
POL0000146,APP0000196,CUST0001843,PRD_TERM20,AGT00546,2025-02-20,Active,650000,597.95,Monthly,Preferred Plus,Accelerated,AL,23,Never,Credit Card,N
POL0000147,APP0000198,CUST0007782,PRD_UL,AGT00793,2025-02-03,Active,175000,2307.96,Monthly,Standard,Accelerated,LA,61,Never,ACH,N
POL0000148,APP0000199,CUST0006394,PRD_TERM20,AGT01037,2023-04-18,Active,100000,372.99,Monthly,Table 2,Full Underwriting,NJ,50,Former,ACH,N
POL0000149,APP0000202,CUST0003967,PRD_TERM20,AGT00165,2023-08-29,Active,100000,581.75,Semiannual,Table 4,Full Underwriting,AK,57,Never,ACH,Y
POL0000150,APP0000203,CUST0008729,PRD_TERM20,AGT00784,2024-12-04,Active,150000,460.67,Quarterly,Table 2,Full Underwriting,VT,41,Former,ACH,Y
POL0000151,APP0000204,CUST0010753,PRD_FE,AGT00097,2023-12-19,Active,15000,727.94,Monthly,Standard,Full Underwriting,AL,68,Never,Payroll Deduction,N
POL0000152,APP0000205,CUST0003285,PRD_FE,AGT00228,2023-11-03,Active,20000,1503.83,Quarterly,Standard Smoker,Full Underwriting,NV,56,Current,Direct Bill,N
POL0000153,APP0000206,CUST0004325,PRD_TERM20,AGT00554,2023-04-24,Active,350000,352.47,Annual,Preferred Plus,Full Underwriting,DC,24,Never,Direct Bill,N
POL0000154,APP0000207,CUST0004790,PRD_UL,AGT00243,2024-10-12,Claim Closed,200000,7277.18,Monthly,Standard Smoker,Accelerated,NE,66,Current,Direct Bill,N
POL0000155,APP0000208,CUST0009219,PRD_WL100,AGT00514,2023-10-28,Active,75000,755.95,Monthly,Preferred,Full Underwriting,CT,35,Never,Direct Bill,N
POL0000156,APP0000209,CUST0011731,PRD_TERM10,AGT01169,2023-05-16,Active,1500000,3787.47,Monthly,Standard,Full Underwriting,OH,62,Never,Direct Bill,N
POL0000157,APP0000212,CUST0012007,PRD_FE,AGT00730,2023-03-12,Active,50000,1764.78,Monthly,Standard,Full Underwriting,OH,58,Never,ACH,N
POL0000158,APP0000213,CUST0003950,PRD_TERM20,AGT00523,2025-11-28,Active,275000,410.88,Monthly,Preferred Plus,Full Underwriting,ME,39,Never,ACH,N
POL0000159,APP0000214,CUST0012649,PRD_TERM10,AGT00456,2023-04-30,Active,50000,268.20,Monthly,Table 4,Full Underwriting,NC,56,Former,ACH,N
POL0000160,APP0000216,CUST0003572,PRD_TERM20,AGT00349,2024-11-01,Active,200000,359.78,Monthly,Preferred Plus,Accelerated,AZ,45,Never,Credit Card,N
POL0000161,APP0000217,CUST0008008,PRD_UL,AGT00845,2023-04-10,Active,1700000,29074.00,Annual,Standard Smoker,Full Underwriting,ME,39,Current,Payroll Deduction,N
POL0000162,APP0000219,CUST0009326,PRD_TERM30,AGT00355,2024-01-19,Active,650000,1582.94,Monthly,Preferred,Simplified,NY,48,Never,Credit Card,N
POL0000163,APP0000220,CUST0006426,PRD_TERM20,AGT00027,2024-05-17,Active,425000,1022.12,Monthly,Standard Smoker,Full Underwriting,TX,18,Current,Direct Bill,N
