coverage_id,policy_id,coverage_type,coverage_amount,annual_rider_premium,coverage_status
COV00000036,POL0000023,Base Death Benefit,650000,0.00,Active
COV00000037,POL0000023,Waiver of Premium,0,280.00,Active
COV00000038,POL0000024,Base Death Benefit,125000,0.00,Active
COV00000039,POL0000024,Waiver of Premium,0,16.61,Active
COV00000040,POL0000025,Base Death Benefit,425000,0.00,Active
COV00000041,POL0000026,Base Death Benefit,125000,0.00,Active
COV00000042,POL0000026,Waiver of Premium,0,30.23,Active
COV00000043,POL0000027,Base Death Benefit,300000,0.00,Active
COV00000044,POL0000027,Waiver of Premium,0,21.55,Active
COV00000045,POL0000028,Base Death Benefit,300000,0.00,Active
COV00000046,POL0000028,Accidental Death Benefit,300000,36.00,Active
COV00000047,POL0000029,Base Death Benefit,725000,0.00,Active
COV00000048,POL0000030,Base Death Benefit,200000,0.00,Active
COV00000049,POL0000031,Base Death Benefit,1275000,0.00,Active
COV00000050,POL0000032,Base Death Benefit,550000,0.00,Active
COV00000051,POL0000032,Waiver of Premium,0,128.06,Active
COV00000052,POL0000033,Base Death Benefit,150000,0.00,Active
COV00000053,POL0000033,Accidental Death Benefit,150000,18.00,Active
COV00000054,POL0000034,Base Death Benefit,300000,0.00,Active
COV00000055,POL0000035,Base Death Benefit,175000,0.00,Active
COV00000056,POL0000036,Base Death Benefit,575000,0.00,Active
COV00000057,POL0000036,Waiver of Premium,0,280.00,Active
COV00000058,POL0000037,Base Death Benefit,75000,0.00,Active
COV00000059,POL0000037,Accidental Death Benefit,75000,9.00,Active
COV00000060,POL0000038,Base Death Benefit,125000,0.00,Active
COV00000061,POL0000038,Waiver of Premium,0,88.31,Active
COV00000062,POL0000038,Chronic Illness Rider,0,110.38,Active
COV00000063,POL0000039,Base Death Benefit,20000,0.00,Active
COV00000064,POL0000040,Base Death Benefit,125000,0.00,Active
COV00000065,POL0000041,Base Death Benefit,125000,0.00,Active
COV00000066,POL0000042,Base Death Benefit,200000,0.00,Active
COV00000067,POL0000042,Waiver of Premium,0,27.70,Active
COV00000068,POL0000043,Base Death Benefit,225000,0.00,Active
COV00000069,POL0000043,Waiver of Premium,0,267.75,Active
COV00000070,POL0000043,Chronic Illness Rider,0,334.68,Active
COV00000071,POL0000044,Base Death Benefit,1150000,0.00,Active
COV00000072,POL0000044,Chronic Illness Rider,0,520.00,Active
COV00000073,POL0000045,Base Death Benefit,100000,0.00,Active
COV00000074,POL0000046,Base Death Benefit,850000,0.00,Active
COV00000075,POL0000047,Base Death Benefit,1050000,0.00,Active
COV00000076,POL0000047,Chronic Illness Rider,0,453.34,Active
COV00000077,POL0000048,Base Death Benefit,1800000,0.00,Active
COV00000078,POL0000049,Base Death Benefit,1150000,0.00,Active
COV00000079,POL0000049,Waiver of Premium,0,249.64,Active
COV00000080,POL0000050,Base Death Benefit,175000,0.00,Active
COV00000081,POL0000050,Accidental Death Benefit,175000,21.00,Active
COV00000082,POL0000051,Base Death Benefit,275000,0.00,Active
COV00000083,POL0000051,Accidental Death Benefit,275000,33.00,Active
COV00000084,POL0000052,Base Death Benefit,1275000,0.00,Active
COV00000085,POL0000053,Base Death Benefit,125000,0.00,Active
COV00000086,POL0000054,Base Death Benefit,425000,0.00,Active
COV00000087,POL0000055,Base Death Benefit,125000,0.00,Active
COV00000088,POL0000056,Base Death Benefit,425000,0.00,Active
COV00000089,POL0000057,Base Death Benefit,650000,0.00,Active
COV00000090,POL0000058,Base Death Benefit,100000,0.00,Active
COV00000091,POL0000058,Waiver of Premium,0,18.73,Active
COV00000092,POL0000059,Base Death Benefit,225000,0.00,Active
COV00000093,POL0000060,Base Death Benefit,100000,0.00,Active
COV00000094,POL0000061,Base Death Benefit,275000,0.00,Active
COV00000095,POL0000061,Waiver of Premium,0,56.51,Active
COV00000096,POL0000061,Accidental Death Benefit,275000,33.00,Active
COV00000097,POL0000062,Base Death Benefit,150000,0.00,Active
COV00000098,POL0000062,Waiver of Premium,0,178.85,Active
COV00000099,POL0000063,Base Death Benefit,925000,0.00,Active
COV00000100,POL0000063,Waiver of Premium,0,280.00,Active
COV00000101,POL0000063,Accidental Death Benefit,925000,111.00,Active
COV00000102,POL0000064,Base Death Benefit,100000,0.00,Active
COV00000103,POL0000065,Base Death Benefit,150000,0.00,Active
COV00000104,POL0000066,Base Death Benefit,150000,0.00,Active
COV00000105,POL0000066,Waiver of Premium,0,29.51,Active
COV00000106,POL0000067,Base Death Benefit,425000,0.00,Active
COV00000107,POL0000068,Base Death Benefit,2175000,0.00,Active
COV00000108,POL0000069,Base Death Benefit,850000,0.00,Active
COV00000109,POL0000069,Waiver of Premium,0,136.04,Active
COV00000110,POL0000070,Base Death Benefit,275000,0.00,Active
COV00000111,POL0000071,Base Death Benefit,650000,0.00,Active
COV00000112,POL0000072,Base Death Benefit,575000,0.00,Active
COV00000113,POL0000072,Accidental Death Benefit,575000,69.00,Active
COV00000114,POL0000073,Base Death Benefit,200000,0.00,Active
COV00000115,POL0000073,Chronic Illness Rider,0,147.79,Active
COV00000116,POL0000074,Base Death Benefit,275000,0.00,Active
COV00000117,POL0000074,Accidental Death Benefit,275000,33.00,Active
COV00000118,POL0000075,Base Death Benefit,125000,0.00,Active
COV00000119,POL0000076,Base Death Benefit,150000,0.00,Active
COV00000120,POL0000077,Base Death Benefit,275000,0.00,Active
COV00000121,POL0000077,Waiver of Premium,0,52.92,Active
COV00000122,POL0000078,Base Death Benefit,75000,0.00,Active
COV00000123,POL0000078,Accidental Death Benefit,75000,9.00,Active
COV00000124,POL0000079,Base Death Benefit,100000,0.00,Active
COV00000125,POL0000080,Base Death Benefit,300000,0.00,Active
COV00000126,POL0000081,Base Death Benefit,575000,0.00,Active
COV00000127,POL0000082,Base Death Benefit,350000,0.00,Active
COV00000128,POL0000082,Accidental Death Benefit,350000,42.00,Active
COV00000129,POL0000083,Base Death Benefit,1450000,0.00,Active
COV00000130,POL0000083,Waiver of Premium,0,246.29,Active
COV00000131,POL0000084,Base Death Benefit,850000,0.00,Active
COV00000132,POL0000085,Base Death Benefit,1275000,0.00,Active
COV00000133,POL0000086,Base Death Benefit,575000,0.00,Active
COV00000134,POL0000087,Base Death Benefit,175000,0.00,Active
COV00000135,POL0000087,Waiver of Premium,0,24.76,Active
COV00000136,POL0000088,Base Death Benefit,1450000,0.00,Active
COV00000137,POL0000088,Accidental Death Benefit,1450000,174.00,Active
COV00000138,POL0000089,Base Death Benefit,350000,0.00,Active
COV00000139,POL0000089,Waiver of Premium,0,32.58,Active
COV00000140,POL0000090,Base Death Benefit,125000,0.00,Active
COV00000141,POL0000090,Waiver of Premium,0,72.62,Active
COV00000142,POL0000090,Accidental Death Benefit,125000,15.00,Active
COV00000143,POL0000091,Base Death Benefit,30000,0.00,Active
COV00000144,POL0000092,Base Death Benefit,1000000,0.00,Active
COV00000145,POL0000093,Base Death Benefit,300000,0.00,Active
COV00000146,POL0000094,Base Death Benefit,150000,0.00,Active
COV00000147,POL0000094,Waiver of Premium,0,203.63,Active
COV00000148,POL0000095,Base Death Benefit,75000,0.00,Active
COV00000149,POL0000095,Waiver of Premium,0,17.82,Active
COV00000150,POL0000096,Base Death Benefit,650000,0.00,Active
COV00000151,POL0000097,Base Death Benefit,575000,0.00,Active
COV00000152,POL0000097,Waiver of Premium,0,58.16,Active
COV00000153,POL0000098,Base Death Benefit,200000,0.00,Active
COV00000154,POL0000098,Waiver of Premium,0,46.07,Active
COV00000155,POL0000099,Base Death Benefit,1700000,0.00,Active
COV00000156,POL0000099,Accidental Death Benefit,1700000,204.00,Active
COV00000157,POL0000100,Base Death Benefit,650000,0.00,Active
COV00000158,POL0000100,Accidental Death Benefit,650000,78.00,Active
COV00000159,POL0000101,Base Death Benefit,1000000,0.00,Active
COV00000160,POL0000102,Base Death Benefit,200000,0.00,Active
COV00000161,POL0000103,Base Death Benefit,275000,0.00,Active
COV00000162,POL0000103,Waiver of Premium,0,35.74,Active
COV00000163,POL0000103,Accidental Death Benefit,275000,33.00,Active
COV00000164,POL0000104,Base Death Benefit,825000,0.00,Active
COV00000165,POL0000104,Waiver of Premium,0,280.00,Active
COV00000166,POL0000104,Accidental Death Benefit,825000,99.00,Active
COV00000167,POL0000105,Base Death Benefit,425000,0.00,Active
COV00000168,POL0000105,Accidental Death Benefit,425000,51.00,Active
COV00000169,POL0000106,Base Death Benefit,125000,0.00,Active
COV00000170,POL0000106,Chronic Illness Rider,0,520.00,Active
COV00000171,POL0000107,Base Death Benefit,100000,0.00,Active
COV00000172,POL0000108,Base Death Benefit,550000,0.00,Active
COV00000173,POL0000108,Accidental Death Benefit,550000,66.00,Active
COV00000174,POL0000109,Base Death Benefit,1000000,0.00,Active
COV00000175,POL0000109,Chronic Illness Rider,0,520.00,Active
COV00000176,POL0000110,Base Death Benefit,75000,0.00,Active
COV00000177,POL0000110,Waiver of Premium,0,54.52,Active
COV00000178,POL0000111,Base Death Benefit,650000,0.00,Active
COV00000179,POL0000112,Base Death Benefit,125000,0.00,Active
COV00000180,POL0000113,Base Death Benefit,350000,0.00,Active
COV00000181,POL0000114,Base Death Benefit,650000,0.00,Active
COV00000182,POL0000114,Waiver of Premium,0,280.00,Active
COV00000183,POL0000114,Chronic Illness Rider,0,520.00,Active
COV00000184,POL0000114,Accidental Death Benefit,650000,78.00,Active
COV00000185,POL0000115,Base Death Benefit,100000,0.00,Active
COV00000186,POL0000115,Chronic Illness Rider,0,94.80,Active
COV00000187,POL0000116,Base Death Benefit,1850000,0.00,Active
COV00000188,POL0000116,Accidental Death Benefit,1850000,220.00,Active
COV00000189,POL0000117,Base Death Benefit,200000,0.00,Active
COV00000190,POL0000118,Base Death Benefit,425000,0.00,Active
COV00000191,POL0000119,Base Death Benefit,300000,0.00,Active
COV00000192,POL0000120,Base Death Benefit,1000000,0.00,Active
COV00000193,POL0000120,Waiver of Premium,0,280.00,Active
COV00000194,POL0000121,Base Death Benefit,125000,0.00,Active
COV00000195,POL0000121,Waiver of Premium,0,28.72,Active
COV00000196,POL0000122,Base Death Benefit,275000,0.00,Active
COV00000197,POL0000122,Waiver of Premium,0,52.21,Active
COV00000198,POL0000123,Base Death Benefit,125000,0.00,Active
COV00000199,POL0000123,Waiver of Premium,0,31.64,Active
COV00000200,POL0000124,Base Death Benefit,200000,0.00,Active
COV00000201,POL0000125,Base Death Benefit,75000,0.00,Active
COV00000202,POL0000125,Accidental Death Benefit,75000,9.00,Active
COV00000203,POL0000126,Base Death Benefit,550000,0.00,Active
COV00000204,POL0000127,Base Death Benefit,850000,0.00,Active
COV00000205,POL0000127,Waiver of Premium,0,171.00,Active
COV00000206,POL0000128,Base Death Benefit,1000000,0.00,Active
COV00000207,POL0000128,Waiver of Premium,0,280.00,Active
COV00000208,POL0000128,Chronic Illness Rider,0,520.00,Active
COV00000209,POL0000129,Base Death Benefit,125000,0.00,Active
COV00000210,POL0000129,Waiver of Premium,0,17.59,Active
COV00000211,POL0000130,Base Death Benefit,125000,0.00,Active
COV00000212,POL0000131,Base Death Benefit,175000,0.00,Active
COV00000213,POL0000132,Base Death Benefit,650000,0.00,Active
COV00000214,POL0000133,Base Death Benefit,350000,0.00,Active
COV00000215,POL0000134,Base Death Benefit,700000,0.00,Active
COV00000216,POL0000134,Accidental Death Benefit,700000,84.00,Active
COV00000217,POL0000135,Base Death Benefit,275000,0.00,Active
COV00000218,POL0000136,Base Death Benefit,650000,0.00,Active
COV00000219,POL0000137,Base Death Benefit,100000,0.00,Active
COV00000220,POL0000138,Base Death Benefit,225000,0.00,Active
COV00000221,POL0000139,Base Death Benefit,175000,0.00,Active
COV00000222,POL0000139,Accidental Death Benefit,175000,21.00,Active
COV00000223,POL0000140,Base Death Benefit,300000,0.00,Active
COV00000224,POL0000141,Base Death Benefit,150000,0.00,Active
COV00000225,POL0000141,Chronic Illness Rider,0,78.03,Active
COV00000226,POL0000142,Base Death Benefit,1450000,0.00,Active
COV00000227,POL0000143,Base Death Benefit,225000,0.00,Active
COV00000228,POL0000144,Base Death Benefit,725000,0.00,Active
COV00000229,POL0000144,Waiver of Premium,0,89.36,Active
COV00000230,POL0000145,Base Death Benefit,425000,0.00,Active
COV00000231,POL0000145,Waiver of Premium,0,280.00,Active
COV00000232,POL0000145,Chronic Illness Rider,0,520.00,Active
COV00000233,POL0000146,Base Death Benefit,650000,0.00,Active
COV00000234,POL0000146,Accidental Death Benefit,650000,78.00,Active
COV00000235,POL0000147,Base Death Benefit,175000,0.00,Active
COV00000236,POL0000148,Base Death Benefit,100000,0.00,Active
COV00000237,POL0000148,Waiver of Premium,0,29.84,Active
COV00000238,POL0000149,Base Death Benefit,100000,0.00,Active
COV00000239,POL0000150,Base Death Benefit,150000,0.00,Active
COV00000240,POL0000150,Waiver of Premium,0,36.85,Active
COV00000241,POL0000151,Base Death Benefit,15000,0.00,Active
COV00000242,POL0000152,Base Death Benefit,20000,0.00,Active
COV00000243,POL0000153,Base Death Benefit,350000,0.00,Active
COV00000244,POL0000153,Accidental Death Benefit,350000,42.00,Active
COV00000245,POL0000154,Base Death Benefit,200000,0.00,Active
COV00000246,POL0000155,Base Death Benefit,75000,0.00,Active
COV00000247,POL0000156,Base Death Benefit,1500000,0.00,Active
COV00000248,POL0000156,Waiver of Premium,0,280.00,Active
COV00000249,POL0000157,Base Death Benefit,50000,0.00,Active
COV00000250,POL0000158,Base Death Benefit,275000,0.00,Active
COV00000251,POL0000159,Base Death Benefit,50000,0.00,Active
COV00000252,POL0000160,Base Death Benefit,200000,0.00,Active
COV00000253,POL0000160,Waiver of Premium,0,28.78,Active
COV00000254,POL0000161,Base Death Benefit,1700000,0.00,Active
COV00000255,POL0000162,Base Death Benefit,650000,0.00,Active
COV00000256,POL0000162,Accidental Death Benefit,650000,78.00,Active
COV00000257,POL0000163,Base Death Benefit,425000,0.00,Active
COV00000258,POL0000164,Base Death Benefit,1400000,0.00,Active
COV00000259,POL0000164,Waiver of Premium,0,280.00,Active
COV00000260,POL0000164,Accidental Death Benefit,1400000,168.00,Active
COV00000261,POL0000165,Base Death Benefit,1450000,0.00,Active
COV00000262,POL0000165,Waiver of Premium,0,103.51,Active
COV00000263,POL0000166,Base Death Benefit,575000,0.00,Active
COV00000264,POL0000166,Waiver of Premium,0,280.00,Active
COV00000265,POL0000166,Chronic Illness Rider,0,372.67,Active
COV00000266,POL0000167,Base Death Benefit,150000,0.00,Active
COV00000267,POL0000168,Base Death Benefit,1150000,0.00,Active
COV00000268,POL0000168,Waiver of Premium,0,201.39,Active
COV00000269,POL0000169,Base Death Benefit,1150000,0.00,Active
COV00000270,POL0000170,Base Death Benefit,1000000,0.00,Active
COV00000271,POL0000170,Chronic Illness Rider,0,458.20,Active
COV00000272,POL0000171,Base Death Benefit,125000,0.00,Active
COV00000273,POL0000171,Chronic Illness Rider,0,102.71,Active
COV00000274,POL0000172,Base Death Benefit,75000,0.00,Active
COV00000275,POL0000173,Base Death Benefit,400000,0.00,Active
COV00000276,POL0000174,Base Death Benefit,650000,0.00,Active
COV00000277,POL0000175,Base Death Benefit,200000,0.00,Active
COV00000278,POL0000175,Waiver of Premium,0,109.92,Active
COV00000279,POL0000175,Accidental Death Benefit,200000,24.00,Active
COV00000280,POL0000176,Base Death Benefit,425000,0.00,Active
COV00000281,POL0000176,Waiver of Premium,0,55.96,Active
COV00000282,POL0000177,Base Death Benefit,25000,0.00,Active
COV00000283,POL0000178,Base Death Benefit,650000,0.00,Active
COV00000284,POL0000179,Base Death Benefit,425000,0.00,Active
COV00000285,POL0000180,Base Death Benefit,125000,0.00,Active
COV00000286,POL0000180,Waiver of Premium,0,244.63,Active
COV00000287,POL0000181,Base Death Benefit,75000,0.00,Active
COV00000288,POL0000182,Base Death Benefit,125000,0.00,Active
COV00000289,POL0000182,Waiver of Premium,0,21.45,Active
COV00000290,POL0000183,Base Death Benefit,200000,0.00,Active
COV00000291,POL0000184,Base Death Benefit,650000,0.00,Active
COV00000292,POL0000184,Waiver of Premium,0,55.81,Active
COV00000293,POL0000185,Base Death Benefit,1700000,0.00,Active
COV00000294,POL0000186,Base Death Benefit,125000,0.00,Active
COV00000295,POL0000187,Base Death Benefit,1500000,0.00,Active
COV00000296,POL0000188,Base Death Benefit,225000,0.00,Active
COV00000297,POL0000189,Base Death Benefit,300000,0.00,Active
COV00000298,POL0000189,Accidental Death Benefit,300000,36.00,Active
COV00000299,POL0000190,Base Death Benefit,1850000,0.00,Active
COV00000300,POL0000191,Base Death Benefit,650000,0.00,Active
COV00000301,POL0000191,Waiver of Premium,0,280.00,Active
COV00000302,POL0000192,Base Death Benefit,125000,0.00,Active
COV00000303,POL0000192,Waiver of Premium,0,174.58,Active
COV00000304,POL0000193,Base Death Benefit,150000,0.00,Active
COV00000305,POL0000193,Waiver of Premium,0,23.29,Active
COV00000306,POL0000194,Base Death Benefit,175000,0.00,Active
COV00000307,POL0000195,Base Death Benefit,650000,0.00,Active
COV00000308,POL0000195,Waiver of Premium,0,92.92,Active
COV00000309,POL0000196,Base Death Benefit,850000,0.00,Active
COV00000310,POL0000196,Waiver of Premium,0,75.69,Active
COV00000311,POL0000197,Base Death Benefit,700000,0.00,Active
COV00000312,POL0000198,Base Death Benefit,150000,0.00,Active
COV00000313,POL0000198,Waiver of Premium,0,27.09,Active
COV00000314,POL0000199,Base Death Benefit,850000,0.00,Active
COV00000315,POL0000200,Base Death Benefit,425000,0.00,Active
COV00000316,POL0000200,Waiver of Premium,0,34.25,Active
COV00000317,POL0000201,Base Death Benefit,125000,0.00,Active
COV00000318,POL0000201,Chronic Illness Rider,0,79.62,Active
COV00000319,POL0000202,Base Death Benefit,1275000,0.00,Active
COV00000320,POL0000202,Accidental Death Benefit,1275000,153.00,Active
COV00000321,POL0000203,Base Death Benefit,1150000,0.00,Active
COV00000322,POL0000203,Waiver of Premium,0,280.00,Active
COV00000323,POL0000204,Base Death Benefit,200000,0.00,Active
COV00000324,POL0000205,Base Death Benefit,1450000,0.00,Active
COV00000325,POL0000205,Accidental Death Benefit,1450000,174.00,Active
COV00000326,POL0000206,Base Death Benefit,1150000,0.00,Active
COV00000327,POL0000206,Waiver of Premium,0,89.76,Active
COV00000328,POL0000207,Base Death Benefit,100000,0.00,Active
COV00000329,POL0000208,Base Death Benefit,1700000,0.00,Active
COV00000330,POL0000209,Base Death Benefit,350000,0.00,Active
COV00000331,POL0000209,Waiver of Premium,0,36.90,Active
COV00000332,POL0000210,Base Death Benefit,275000,0.00,Active
COV00000333,POL0000211,Base Death Benefit,100000,0.00,Active
COV00000334,POL0000211,Chronic Illness Rider,0,156.63,Active
COV00000335,POL0000212,Base Death Benefit,100000,0.00,Active
COV00000336,POL0000212,Waiver of Premium,0,23.81,Active
COV00000337,POL0000213,Base Death Benefit,725000,0.00,Active
COV00000338,POL0000214,Base Death Benefit,1050000,0.00,Active
COV00000339,POL0000215,Base Death Benefit,200000,0.00,Active
COV00000340,POL0000216,Base Death Benefit,100000,0.00,Active
COV00000341,POL0000216,Chronic Illness Rider,0,51.23,Active
COV00000342,POL0000217,Base Death Benefit,275000,0.00,Active
COV00000343,POL0000218,Base Death Benefit,450000,0.00,Active
COV00000344,POL0000219,Base Death Benefit,275000,0.00,Active
COV00000345,POL0000219,Waiver of Premium,0,214.00,Active
COV00000346,POL0000219,Chronic Illness Rider,0,267.50,Active
COV00000347,POL0000220,Base Death Benefit,100000,0.00,Active
COV00000348,POL0000221,Base Death Benefit,100000,0.00,Active
COV00000349,POL0000222,Base Death Benefit,200000,0.00,Active
COV00000350,POL0000222,Waiver of Premium,0,21.71,Active
COV00000351,POL0000223,Base Death Benefit,2300000,0.00,Active
COV00000352,POL0000223,Waiver of Premium,0,280.00,Active
COV00000353,POL0000224,Base Death Benefit,125000,0.00,Active
COV00000354,POL0000224,Waiver of Premium,0,87.04,Active
COV00000355,POL0000225,Base Death Benefit,850000,0.00,Active
COV00000356,POL0000225,Accidental Death Benefit,850000,102.00,Active
COV00000357,POL0000226,Base Death Benefit,125000,0.00,Active
COV00000358,POL0000226,Waiver of Premium,0,32.05,Active
COV00000359,POL0000227,Base Death Benefit,850000,0.00,Active
COV00000360,POL0000228,Base Death Benefit,175000,0.00,Active
COV00000361,POL0000228,Accidental Death Benefit,175000,21.00,Active
COV00000362,POL0000229,Base Death Benefit,275000,0.00,Active
COV00000363,POL0000229,Waiver of Premium,0,75.20,Active
COV00000364,POL0000230,Base Death Benefit,425000,0.00,Active
COV00000365,POL0000230,Waiver of Premium,0,62.06,Active
COV00000366,POL0000231,Base Death Benefit,20000,0.00,Active
COV00000367,POL0000232,Base Death Benefit,300000,0.00,Active
COV00000368,POL0000232,Waiver of Premium,0,280.00,Active
COV00000369,POL0000233,Base Death Benefit,1700000,0.00,Active
COV00000370,POL0000234,Base Death Benefit,125000,0.00,Active
COV00000371,POL0000235,Base Death Benefit,150000,0.00,Active
COV00000372,POL0000236,Base Death Benefit,300000,0.00,Active
COV00000373,POL0000237,Base Death Benefit,100000,0.00,Active
COV00000374,POL0000237,Waiver of Premium,0,19.83,Active
COV00000375,POL0000237,Accidental Death Benefit,100000,12.00,Active
COV00000376,POL0000238,Base Death Benefit,850000,0.00,Active
COV00000377,POL0000239,Base Death Benefit,125000,0.00,Active
COV00000378,POL0000239,Waiver of Premium,0,122.02,Active
COV00000379,POL0000240,Base Death Benefit,425000,0.00,Active
COV00000380,POL0000241,Base Death Benefit,100000,0.00,Active
COV00000381,POL0000241,Chronic Illness Rider,0,129.09,Active
COV00000382,POL0000242,Base Death Benefit,725000,0.00,Active
COV00000383,POL0000243,Base Death Benefit,1150000,0.00,Active
COV00000384,POL0000243,Waiver of Premium,0,280.00,Active
COV00000385,POL0000244,Base Death Benefit,700000,0.00,Active
COV00000386,POL0000245,Base Death Benefit,575000,0.00,Active
COV00000387,POL0000246,Base Death Benefit,725000,0.00,Active
COV00000388,POL0000246,Waiver of Premium,0,95.25,Active
COV00000389,POL0000247,Base Death Benefit,1050000,0.00,Active
COV00000390,POL0000248,Base Death Benefit,125000,0.00,Active
COV00000391,POL0000248,Waiver of Premium,0,17.18,Active
COV00000392,POL0000248,Accidental Death Benefit,125000,15.00,Active
COV00000393,POL0000249,Base Death Benefit,2000000,0.00,Active
COV00000394,POL0000249,Accidental Death Benefit,2000000,220.00,Active
COV00000395,POL0000250,Base Death Benefit,20000,0.00,Active
COV00000396,POL0000251,Base Death Benefit,1400000,0.00,Active
COV00000397,POL0000251,Chronic Illness Rider,0,520.00,Active
COV00000398,POL0000252,Base Death Benefit,650000,0.00,Active
COV00000399,POL0000253,Base Death Benefit,175000,0.00,Active
COV00000400,POL0000253,Accidental Death Benefit,175000,21.00,Active
COV00000401,POL0000254,Base Death Benefit,225000,0.00,Active
COV00000402,POL0000254,Waiver of Premium,0,23.92,Active
COV00000403,POL0000255,Base Death Benefit,1100000,0.00,Active
COV00000404,POL0000256,Base Death Benefit,425000,0.00,Active
COV00000405,POL0000256,Accidental Death Benefit,425000,51.00,Active
COV00000406,POL0000257,Base Death Benefit,650000,0.00,Active
COV00000407,POL0000258,Base Death Benefit,175000,0.00,Active
COV00000408,POL0000259,Base Death Benefit,150000,0.00,Active
COV00000409,POL0000260,Base Death Benefit,125000,0.00,Active
COV00000410,POL0000260,Chronic Illness Rider,0,110.65,Active
COV00000411,POL0000261,Base Death Benefit,1100000,0.00,Active
COV00000412,POL0000262,Base Death Benefit,575000,0.00,Active
COV00000413,POL0000262,Accidental Death Benefit,575000,69.00,Active
COV00000414,POL0000263,Base Death Benefit,850000,0.00,Active
COV00000415,POL0000264,Base Death Benefit,850000,0.00,Active
COV00000416,POL0000264,Accidental Death Benefit,850000,102.00,Active
COV00000417,POL0000265,Base Death Benefit,650000,0.00,Active
COV00000418,POL0000266,Base Death Benefit,100000,0.00,Active
COV00000419,POL0000266,Waiver of Premium,0,74.60,Active
COV00000420,POL0000267,Base Death Benefit,75000,0.00,Active
COV00000421,POL0000267,Waiver of Premium,0,58.32,Active
COV00000422,POL0000267,Chronic Illness Rider,0,72.90,Active
COV00000423,POL0000268,Base Death Benefit,75000,0.00,Active
COV00000424,POL0000268,Waiver of Premium,0,24.75,Active
COV00000425,POL0000269,Base Death Benefit,725000,0.00,Active
COV00000426,POL0000270,Base Death Benefit,200000,0.00,Active
COV00000427,POL0000271,Base Death Benefit,425000,0.00,Active
COV00000428,POL0000271,Chronic Illness Rider,0,520.00,Active
COV00000429,POL0000272,Base Death Benefit,700000,0.00,Active
COV00000430,POL0000272,Waiver of Premium,0,96.00,Active
COV00000431,POL0000273,Base Death Benefit,850000,0.00,Active
COV00000432,POL0000273,Waiver of Premium,0,280.00,Active
COV00000433,POL0000274,Base Death Benefit,825000,0.00,Active
COV00000434,POL0000275,Base Death Benefit,275000,0.00,Active
COV00000435,POL0000276,Base Death Benefit,850000,0.00,Active
COV00000436,POL0000276,Waiver of Premium,0,280.00,Active
COV00000437,POL0000277,Base Death Benefit,425000,0.00,Active
COV00000438,POL0000278,Base Death Benefit,725000,0.00,Active
COV00000439,POL0000279,Base Death Benefit,150000,0.00,Active
COV00000440,POL0000279,Chronic Illness Rider,0,127.52,Active
COV00000441,POL0000280,Base Death Benefit,150000,0.00,Active
COV00000442,POL0000281,Base Death Benefit,175000,0.00,Active
COV00000443,POL0000281,Chronic Illness Rider,0,101.85,Active
COV00000444,POL0000282,Base Death Benefit,150000,0.00,Active
COV00000445,POL0000282,Waiver of Premium,0,49.71,Active
COV00000446,POL0000282,Accidental Death Benefit,150000,18.00,Active
